Angles_0,Angles_1,freq,amp_1,amp_2,offset_1,offset_2,phase,Potentials_0,Potentials_1,Speed
28.55,-5.26,0.9,80,48,56,-34,-52.0,12.,-27.,14.622616716182732
-100.59,-5.21,0.8,80,80,-25,26,-52.0,-82.,21.,12.11948151833782
-29.3,4.55,0.8,63,79,-87,-73,22.0,-33.,8.,11.84783536259588
-46.97,22.27,0.3,48,63,7,-21,11.0,-38.,10.,11.480085626524083
47.04,-60.64,0.9,80,48,56,-34,55.0,102.,-42.,11.266256607089923
-93.43,-61.25,0.8,64,80,-56,13,82.0,-70.,-67.,10.936932753218084
-113.92,-20.67,0.8,47,46,-56,36,87.0,-86.,-30.,10.561174166427447
-108.13,36.95,0.8,80,48,-29,81,-26.0,-56.,81.,10.258843637538863
-123.27,93.89,0.9,79,78,-74,37,87.0,25.,91.,10.144380842959729
9.25,112.17,0.9,0,78,72,48,-30.0,13.,87.,10.13862847010265
58.31,45.53,0.8,80,80,-25,26,-52.0,56.,27.,10.005821922088716
-57.57,-7.36,0.9,80,63,-90,-21,11.0,-11.,14.,9.855078716988254
-53.96,-7.45,0.0,0,64,40,42,-71.0,-29.,20.,9.753163874075456
-57.1,85.24,0.7,79,78,-90,35,43.0,-49.,70.,9.416278500781688
-32.76,110.63,0.9,31,78,-71,51,-24.0,-29.,94.,9.386643173785838
20.55,-5.94,0.7,48,79,87,5,39.0,14.,-13.,9.293966116010852
-45.04,-72.63,0.3,64,65,-25,-3,67.0,-25.,-66.,9.19753209379549
-62.48,52.71,0.8,32,79,-56,39,-22.0,-17.,118.,9.185418857580109
-66.67,8.96,0.9,48,65,-25,-3,67.0,-71.,-9.,9.119758570231577
-118.7,-168.29,0.6,64,82,-90,-86,64.0,-86.,-10.,9.090985661176171
141.04,-35.25,0.5,79,63,54,-10,-79.0,94.,-51.,9.006040271917795
-31.27,83.62,0.9,31,32,-56,56,-22.0,8.,83.,8.92846242496591
-45.18,-80.95,0.8,0,4,38,81,-58.0,-35.,-75.,8.925706733429916
-24.89,106.04,0.7,79,78,-90,35,43.0,-15.,93.,8.87538570182099
-109.16,33.69,0.9,64,47,-38,85,35.0,-87.,29.,8.859528241319937
-63.46,-119.41,0.7,79,64,-40,-87,21.0,-23.,-51.,8.85306347038813
47.66,113.18,0.8,80,48,-29,81,-26.0,58.,93.,8.815729336760292
-89.36,39.79,0.7,64,33,-89,70,54.0,-66.,48.,8.813682493446732
-131.63,0.96,0.9,48,49,-90,53,51.0,-87.,39.,8.72726518418719
-57.63,-38.4,0.8,64,79,-6,20,84.0,-38.,-51.,8.717980655998915
-3.49,-92.94,0.9,63,79,57,-8,-40.0,26.,-47.,8.616331947461564
-101.28,-95.77,0.6,79,81,-58,-12,66.0,-81.,-88.,8.537667455593457
-103.69,33.05,0.0,80,1,-90,-11,-86.0,-87.,37.,8.509987190778334
114.87,67.75,0.7,63,80,87,-84,37.0,96.,59.,8.500689432906995
-64.08,56.12,0.9,64,78,-40,48,-30.0,-35.,125.,8.496265621720058
45.66,-44.95,0.8,79,47,-6,-80,55.0,41.,-27.,8.48187576736532
0.77,-40.69,0.9,32,47,-29,-53,-83.0,5.,-31.,8.479309922153735
-35.07,-67.67,0.8,15,79,-22,-81,71.0,-34.,-18.,8.471469035990387
80.68,47.73,0.9,79,16,42,-10,-83.0,71.,49.,8.466442659977876
120.04,21.65,0.6,79,78,56,-6,-36.0,94.,7.,8.341397909478678
-76.61,-77.6,0.9,64,78,-55,-25,10.0,-62.,-68.,8.335651374109585
-61.74,32.45,0.2,64,0,-26,16,-27.0,-51.,38.,8.334727218851851
34.98,15.04,0.9,47,80,56,21,-23.0,54.,68.,8.246020195263558
154.93,-45.13,0.9,79,79,86,-86,-66.0,127.,-34.,8.204138748372728
-159.45,-1.18,0.7,80,34,-86,36,-53.0,33.,38.,8.201801364203838
81.57,-11.39,0.8,80,62,7,-50,-52.0,84.,-21.,8.014576783681216
-95.7,45.66,0.9,80,17,-27,68,36.0,-53.,48.,7.978834658797616
1.6,85.84,0.9,64,47,-38,85,35.0,16.,94.,7.92737988994895
-140.13,-93.9,0.6,64,82,-90,-86,64.0,-86.,-14.,7.912223404989653
-83.73,-113.28,0.7,32,79,-83,-52,-24.0,-87.,-89.,7.89273929477694
56.49,12.57,0.8,48,80,38,-53,-24.0,72.,18.,7.87665409428488
-80.78,81.43,0.9,48,49,-90,53,51.0,-87.,71.,7.862959176271506
43.61,73.39,0.1,16,79,-87,50,69.0,45.,51.,7.849751388123551
-117.99,-68.28,0.5,80,79,-74,-73,-37.0,-88.,-15.,7.84028014780591
93.45,114.06,0.7,63,63,42,69,-70.0,95.,91.,7.83316084151089
88.9,92.7,0.7,48,48,72,56,87.0,71.,93.,7.7880368900657695
86.36,55.82,0.7,48,79,87,5,39.0,76.,39.,7.757674093352992
-73.74,11.01,0.9,31,78,-71,51,-24.0,-84.,-10.,7.753872081932828
4.89,21.23,0.7,79,0,73,-68,54.0,-5.,30.,7.748034899838304
11.89,-36.78,0.1,64,80,56,-85,36.0,27.,14.,7.743009356605958
-97.3,-146.4,0.7,79,64,-40,-87,21.0,-74.,-47.,7.737940663196804
29.29,10.79,0.9,63,79,57,-8,-40.0,73.,67.,7.729682170465843
