['12:02:30.640', '[-3.]']
['12:02:30.664', '[-3.]']
['12:02:30.690', '[-3.]']
['12:02:30.714', '[-3.]']
['12:02:30.736', '[-3.]']
['12:02:30.751', '[-3.]']
['12:02:30.766', '[-3.]']
['12:02:30.787', '[-3.]']
['12:02:30.815', '[-3.]']
['12:02:30.839', '[-3.]']
['12:02:30.863', '[-3.]']
['12:02:30.885', '[-3.]']
['12:02:30.909', '[-3.]']
['12:02:30.936', '[-3.]']
['12:02:30.961', '[-3.]']
['12:02:30.982', '[-3.]']
['12:02:31.010', '[-3.]']
['12:02:31.035', '[-3.]']
['12:02:31.060', '[-3.]']
['12:02:31.084', '[-3.]']
['12:02:31.110', '[-3.]']
['12:02:31.132', '[-3.]']
['12:02:31.160', '[-3.]']
['12:02:31.181', '[-3.]']
['12:02:31.210', '[-3.]']
['12:02:31.231', '[-3.]']
['12:02:31.264', '[-3.]']
['12:02:31.282', '[-3.]']
['12:02:31.311', '[-3.]']
['12:02:31.331', '[-3.]']
['12:02:31.359', '[-3.]']
['12:02:31.381', '[-3.]']
['12:02:31.410', '[-3.]']
['12:02:31.432', '[-3.]']
['12:02:31.461', '[-3.]']
['12:02:31.481', '[-3.]']
['12:02:31.509', '[-3.]']
['12:02:31.532', '[-3.]']
['12:02:31.560', '[-3.]']
['12:02:31.581', '[-3.]']
['12:02:31.610', '[-3.]']
['12:02:31.634', '[-3.]']
['12:02:31.661', '[-3.]']
['12:02:31.683', '[-3.]']
['12:02:31.711', '[-3.]']
['12:02:31.732', '[-3.]']
['12:02:31.806', '[-3.]']
['12:02:31.818', '[-3.]']
['12:02:31.831', '[-3.]']
['12:02:31.861', '[-3.]']
['12:02:31.882', '[-3.]']
['12:02:31.911', '[-3.]']
['12:02:31.933', '[-3.]']
['12:02:31.960', '[-3.]']
['12:02:31.982', '[-3.]']
['12:02:32.010', '[-3.]']
['12:02:32.032', '[-3.]']
['12:02:32.061', '[-3.]']
['12:02:32.083', '[-3.]']
['12:02:32.111', '[-3.]']
['12:02:32.133', '[-3.]']
['12:02:32.161', '[-3.]']
['12:02:32.183', '[-3.]']
['12:02:32.212', '[-3.]']
['12:02:32.234', '[-3.]']
['12:02:32.259', '[-3.]']
['12:02:32.283', '[-3.]']
['12:02:32.312', '[-3.]']
['12:02:32.333', '[-3.]']
['12:02:32.362', '[-3.]']
['12:02:32.382', '[-3.]']
['12:02:32.410', '[-3.]']
['12:02:32.434', '[-3.]']
['12:02:32.461', '[-3.]']
['12:02:32.483', '[-3.]']
['12:02:32.511', '[-3.]']
['12:02:32.534', '[-3.]']
['12:02:32.560', '[-3.]']
['12:02:32.583', '[-3.]']
['12:02:32.617', '[-3.]']
['12:02:32.638', '[-3.]']
['12:02:32.663', '[-3.]']
['12:02:32.692', '[-3.]']
['12:02:32.711', '[-3.]']
['12:02:32.739', '[-3.]']
['12:02:32.771', '[-3.]']
['12:02:32.796', '[-3.]']
['12:02:32.814', '[-3.]']
['12:02:32.833', '[-3.]']
['12:02:32.859', '[-3.]']
['12:02:32.882', '[-3.]']
['12:02:32.910', '[-3.]']
['12:02:32.934', '[-3.]']
['12:02:32.960', '[-3.]']
['12:02:32.982', '[-3.]']
['12:02:33.010', '[-3.]']
['12:02:33.033', '[-3.]']
['12:02:33.059', '[-3.]']
['12:02:33.083', '[-3.]']
['12:02:33.107', '[-3.]']
['12:02:33.135', '[-3.]']
['12:02:33.158', '[-3.]']
['12:02:33.183', '[-3.]']
['12:02:33.210', '[-3.]']
['12:02:33.234', '[-3.]']
['12:02:33.257', '[-3.]']
['12:02:33.284', '[-3.]']
['12:02:33.309', '[-3.]']
['12:02:33.334', '[-3.]']
['12:02:33.359', '[-3.]']
['12:02:33.384', '[-3.]']
['12:02:33.409', '[-3.]']
['12:02:33.433', '[-3.]']
['12:02:33.457', '[-3.]']
['12:02:33.485', '[-3.]']
['12:02:33.506', '[-3.]']
['12:02:33.533', '[-3.]']
['12:02:33.557', '[-3.]']
['12:02:33.583', '[-3.]']
['12:02:33.608', '[-3.]']
['12:02:33.633', '[-3.]']
['12:02:33.656', '[-3.]']
['12:02:33.683', '[-3.]']
['12:02:33.708', '[-3.]']
['12:02:33.735', '[-3.]']
['12:02:33.758', '[-3.]']
['12:02:33.785', '[-3.]']
['12:02:33.806', '[-3.]']
['12:02:33.833', '[-3.]']
['12:02:33.856', '[-3.]']
['12:02:33.885', '[-3.]']
['12:02:33.908', '[-3.]']
['12:02:33.966', '[-3.]']
['12:02:33.978', '[-3.]']
['12:02:33.988', '[-3.]']
['12:02:34.009', '[-3.]']
['12:02:34.034', '[-3.]']
['12:02:34.057', '[-3.]']
['12:02:34.085', '[-3.]']
['12:02:34.109', '[-3.]']
['12:02:34.134', '[-3.]']
['12:02:34.156', '[-3.]']
['12:02:34.182', '[-3.]']
['12:02:34.206', '[-3.]']
['12:02:34.233', '[-3.]']
['12:02:34.258', '[-3.]']
['12:02:34.285', '[-3.]']
['12:02:34.306', '[-3.]']
['12:02:34.335', '[-3.]']
['12:02:34.358', '[-3.]']
['12:02:34.384', '[-3.]']
['12:02:34.406', '[-3.]']
['12:02:34.433', '[-3.]']
['12:02:34.456', '[-3.]']
['12:02:34.483', '[-3.]']
['12:02:34.505', '[-3.]']
['12:02:34.535', '[-3.]']
['12:02:34.555', '[-3.]']
['12:02:34.584', '[-3.]']
['12:02:34.605', '[-3.]']
['12:02:34.635', '[-3.]']
['12:02:34.657', '[-3.]']
['12:02:34.686', '[-3.]']
['12:02:34.708', '[-3.]']
['12:02:34.734', '[-3.]']
['12:02:34.755', '[-3.]']
['12:02:34.784', '[-3.]']
['12:02:34.805', '[-3.]']
['12:02:34.834', '[-3.]']
['12:02:34.856', '[-3.]']
['12:02:34.885', '[-3.]']
['12:02:34.905', '[-3.]']
['12:02:34.936', '[-3.]']
['12:02:34.957', '[-3.]']
['12:02:34.985', '[-3.]']
['12:02:35.005', '[-3.]']
['12:02:35.035', '[-3.]']
['12:02:35.055', '[-3.]']
['12:02:35.084', '[-3.]']
['12:02:35.106', '[-3.]']
['12:02:35.135', '[-3.]']
['12:02:35.156', '[-3.]']
['12:02:35.185', '[-3.]']
['12:02:35.206', '[-3.]']
['12:02:35.235', '[-3.]']
['12:02:35.256', '[-3.]']
['12:02:35.285', '[-3.]']
['12:02:35.306', '[-3.]']
['12:02:35.335', '[-3.]']
['12:02:35.356', '[-3.]']
['12:02:35.384', '[-3.]']
['12:02:35.406', '[-3.]']
['12:02:35.434', '[-3.]']
['12:02:35.457', '[-3.]']
['12:02:35.484', '[-3.]']
['12:02:35.508', '[-3.]']
['12:02:35.535', '[-3.]']
['12:02:35.562', '[-3.]']
['12:02:35.585', '[-3.]']
['12:02:35.608', '[-3.]']
['12:02:35.641', '[-3.]']
['12:02:35.660', '[-3.]']
['12:02:35.685', '[-3.]']
['12:02:35.708', '[-3.]']
['12:02:35.735', '[-3.]']
['12:02:35.758', '[-3.]']
['12:02:35.784', '[-3.]']
['12:02:35.808', '[-3.]']
['12:02:35.834', '[-3.]']
['12:02:35.857', '[-3.]']
['12:02:35.884', '[-3.]']
['12:02:35.909', '[-3.]']
['12:02:35.934', '[-3.]']
['12:02:35.960', '[-3.]']
['12:02:35.984', '[-3.]']
['12:02:36.008', '[-3.]']
['12:02:36.033', '[-3.]']
['12:02:36.058', '[-3.]']
['12:02:36.084', '[-3.]']
['12:02:36.107', '[-3.]']
['12:02:36.134', '[-3.]']
['12:02:36.156', '[-3.]']
['12:02:36.182', '[-3.]']
['12:02:36.208', '[-3.]']
['12:02:36.231', '[-3.]']
['12:02:36.259', '[-3.]']
['12:02:36.289', '[-3.]']
['12:02:36.315', '[-3.]']
['12:02:36.334', '[-3.]']
['12:02:36.362', '[-3.]']
['12:02:36.384', '[-3.]']
['12:02:36.409', '[-3.]']
['12:02:36.433', '[-3.]']
['12:02:36.460', '[-3.]']
['12:02:36.483', '[-3.]']
['12:02:36.509', '[-3.]']
['12:02:36.531', '[-3.]']
['12:02:36.558', '[-3.]']
['12:02:36.583', '[-3.]']
['12:02:36.609', '[-3.]']
['12:02:36.629', '[-3.]']
['12:02:36.658', '[-3.]']
['12:02:36.683', '[-3.]']
['12:02:36.709', '[-3.]']
['12:02:36.731', '[-3.]']
['12:02:36.759', '[-3.]']
['12:02:36.781', '[-3.]']
['12:02:36.809', '[-3.]']
