['12:02:59.331', '[-3. -4.]']
['12:02:59.355', '[-3. -4.]']
['12:02:59.384', '[-3. -4.]']
['12:02:59.417', '[-3. -4.]']
['12:02:59.448', '[-3. -4.]']
['12:02:59.475', '[-3. -4.]']
['12:02:59.498', '[-3. -4.]']
['12:02:59.514', '[-3. -4.]']
['12:02:59.534', '[-3. -4.]']
['12:02:59.558', '[-3. -4.]']
['12:02:59.574', '[-3. -4.]']
['12:02:59.590', '[-3. -4.]']
['12:02:59.606', '[-3. -4.]']
['12:02:59.619', '[-3. -4.]']
['12:02:59.632', '[-3. -4.]']
['12:02:59.642', '[-3. -4.]']
['12:02:59.684', '[-3. -4.]']
['12:02:59.695', '[-3. -4.]']
['12:02:59.709', '[-3. -4.]']
['12:02:59.735', '[-3. -4.]']
['12:02:59.756', '[-3. -4.]']
['12:02:59.785', '[-3. -4.]']
['12:02:59.806', '[-3. -4.]']
['12:02:59.835', '[-3. -4.]']
['12:02:59.857', '[-3. -4.]']
['12:02:59.885', '[-3. -4.]']
['12:02:59.924', '[-3. -4.]']
['12:02:59.939', '[-3. -4.]']
['12:02:59.959', '[-3. -4.]']
['12:03:00.004', '[-3. -4.]']
['12:03:00.026', '[-3. -4.]']
['12:03:00.049', '[-3. -4.]']
['12:03:00.064', '[-3. -4.]']
['12:03:00.086', '[-3. -4.]']
['12:03:00.109', '[-3. -4.]']
['12:03:00.137', '[-3. -4.]']
['12:03:00.161', '[-3. -4.]']
['12:03:00.187', '[-3. -4.]']
['12:03:00.209', '[-3. -4.]']
['12:03:00.238', '[-3. -4.]']
['12:03:00.262', '[-3. -4.]']
['12:03:00.292', '[-3. -4.]']
['12:03:00.317', '[-3. -4.]']
['12:03:00.337', '[-3. -4.]']
['12:03:00.359', '[-3. -4.]']
['12:03:00.387', '[-3. -4.]']
['12:03:00.408', '[-3. -4.]']
['12:03:00.440', '[-3. -4.]']
['12:03:00.465', '[-3. -4.]']
['12:03:00.486', '[-3. -4.]']
['12:03:00.510', '[-3. -4.]']
['12:03:00.542', '[-3. -4.]']
['12:03:00.570', '[-3. -4.]']
['12:03:00.589', '[-3. -4.]']
['12:03:00.614', '[-3. -4.]']
['12:03:00.643', '[-3. -4.]']
['12:03:00.667', '[-3. -4.]']
['12:03:00.696', '[-3. -4.]']
['12:03:00.728', '[-3. -4.]']
['12:03:00.748', '[-3. -4.]']
['12:03:00.767', '[-3. -4.]']
['12:03:00.794', '[-3. -4.]']
['12:03:00.811', '[-3. -4.]']
['12:03:00.838', '[-3. -4.]']
['12:03:00.862', '[-3. -4.]']
['12:03:00.890', '[-3. -4.]']
['12:03:00.911', '[-3. -4.]']
['12:03:00.949', '[-3. -4.]']
['12:03:00.968', '[-3. -4.]']
['12:03:00.993', '[-3. -4.]']
['12:03:01.014', '[-3. -4.]']
['12:03:01.049', '[-3. -4.]']
['12:03:01.074', '[-3. -4.]']
['12:03:01.099', '[-3. -4.]']
['12:03:01.117', '[-3. -4.]']
['12:03:01.142', '[-3. -4.]']
['12:03:01.162', '[-3. -4.]']
['12:03:01.189', '[-3. -4.]']
['12:03:01.213', '[-3. -4.]']
['12:03:01.238', '[-3. -4.]']
['12:03:01.264', '[-3. -4.]']
['12:03:01.289', '[-3. -4.]']
['12:03:01.308', '[-3. -4.]']
['12:03:01.334', '[-3. -4.]']
['12:03:01.362', '[-3. -4.]']
['12:03:01.387', '[-3. -4.]']
['12:03:01.407', '[-3. -4.]']
['12:03:01.435', '[-3. -4.]']
['12:03:01.459', '[-3. -4.]']
['12:03:01.486', '[-3. -4.]']
['12:03:01.509', '[-3. -4.]']
['12:03:01.535', '[-3. -4.]']
['12:03:01.572', '[-3. -4.]']
['12:03:01.585', '[-3. -4.]']
['12:03:01.619', '[-3. -4.]']
['12:03:01.639', '[-3. -4.]']
['12:03:01.661', '[-3. -4.]']
['12:03:01.686', '[-3. -4.]']
['12:03:01.708', '[-3. -4.]']
['12:03:01.736', '[-3. -4.]']
['12:03:01.759', '[-3. -4.]']
['12:03:01.786', '[-3. -4.]']
['12:03:01.809', '[-3. -4.]']
['12:03:01.835', '[-3. -4.]']
['12:03:01.858', '[-3. -4.]']
['12:03:01.884', '[-3. -4.]']
['12:03:01.908', '[-3. -4.]']
['12:03:01.935', '[-3. -4.]']
['12:03:01.958', '[-3. -4.]']
['12:03:01.984', '[-3. -4.]']
['12:03:02.008', '[-3. -4.]']
['12:03:02.034', '[-3. -4.]']
['12:03:02.061', '[-3. -4.]']
['12:03:02.085', '[-3. -4.]']
['12:03:02.115', '[-3. -4.]']
['12:03:02.141', '[-3. -4.]']
['12:03:02.176', '[-3. -4.]']
['12:03:02.207', '[-3. -4.]']
['12:03:02.253', '[-3. -4.]']
['12:03:02.292', '[-3. -4.]']
['12:03:02.325', '[-3. -4.]']
['12:03:02.348', '[-3. -4.]']
['12:03:02.389', '[-3. -4.]']
['12:03:02.413', '[-3. -4.]']
['12:03:02.436', '[-3. -4.]']
['12:03:02.459', '[-3. -4.]']
['12:03:02.489', '[-3. -4.]']
['12:03:02.509', '[-3. -4.]']
['12:03:02.537', '[-3. -4.]']
['12:03:02.571', '[-3. -4.]']
['12:03:02.595', '[-3. -4.]']
['12:03:02.620', '[-3. -4.]']
['12:03:02.639', '[-3. -4.]']
['12:03:02.659', '[-3. -4.]']
['12:03:02.681', '[-3. -4.]']
['12:03:02.707', '[-3. -4.]']
['12:03:02.726', '[-3. -4.]']
['12:03:02.751', '[-3. -4.]']
['12:03:02.772', '[-3. -4.]']
['12:03:02.793', '[-3. -4.]']
['12:03:02.812', '[-3. -4.]']
