['timestamp', 'frequency', 'amplitudes', 'offsets', 'phase_biases']
['10:25:17.803', '0', '[0, 0]', '[-1, 0]', '[0.0]']
['10:25:17.808', '0', '[0, 0]', '[-2, 0]', '[0.0]']
['10:25:17.811', '0', '[0, 0]', '[-3, 0]', '[0.0]']
['10:25:17.816', '0', '[0, 0]', '[-4, 0]', '[0.0]']
['10:25:17.818', '0', '[0, 0]', '[-5, 0]', '[0.0]']
['10:25:17.831', '0', '[0, 0]', '[-13, 0]', '[0.0]']
['10:25:17.833', '0', '[0, 0]', '[-14, 0]', '[0.0]']
['10:25:17.834', '0', '[0, 0]', '[-18, 0]', '[0.0]']
['10:25:17.837', '0', '[0, 0]', '[-20, 0]', '[0.0]']
['10:25:17.838', '0', '[0, 0]', '[-24, 0]', '[0.0]']
['10:25:17.840', '0', '[0, 0]', '[-26, 0]', '[0.0]']
['10:25:17.842', '0', '[0, 0]', '[-28, 0]', '[0.0]']
['10:25:17.844', '0', '[0, 0]', '[-31, 0]', '[0.0]']
['10:25:17.845', '0', '[0, 0]', '[-33, 0]', '[0.0]']
['10:25:17.877', '0', '[0, 0]', '[-90, 0]', '[0.0]']
['10:25:19.126', '0', '[0, 0]', '[-90, -2]', '[0.0]']
['10:25:19.128', '0', '[0, 0]', '[-90, -3]', '[0.0]']
['10:25:19.130', '0', '[0, 0]', '[-90, -5]', '[0.0]']
['10:25:19.133', '0', '[0, 0]', '[-90, -6]', '[0.0]']
['10:25:19.135', '0', '[0, 0]', '[-90, -7]', '[0.0]']
['10:25:19.139', '0', '[0, 0]', '[-90, -9]', '[0.0]']
['10:25:19.143', '0', '[0, 0]', '[-90, -11]', '[0.0]']
['10:25:19.156', '0', '[0, 0]', '[-90, -14]', '[0.0]']
['10:25:19.159', '0', '[0, 0]', '[-90, -16]', '[0.0]']
['10:25:19.162', '0', '[0, 0]', '[-90, -17]', '[0.0]']
['10:25:19.164', '0', '[0, 0]', '[-90, -18]', '[0.0]']
['10:25:19.168', '0', '[0, 0]', '[-90, -20]', '[0.0]']
['10:25:19.202', '0', '[0, 0]', '[-90, -54]', '[0.0]']
['10:25:19.204', '0', '[0, 0]', '[-90, -57]', '[0.0]']
['10:25:19.206', '0', '[0, 0]', '[-90, -59]', '[0.0]']
['10:25:19.207', '0', '[0, 0]', '[-90, -63]', '[0.0]']
['10:25:19.209', '0', '[0, 0]', '[-90, -67]', '[0.0]']
['10:25:19.210', '0', '[0, 0]', '[-90, -69]', '[0.0]']
['10:25:19.212', '0', '[0, 0]', '[-90, -77]', '[0.0]']
['10:25:19.213', '0', '[0, 0]', '[-90, -79]', '[0.0]']
['10:25:19.215', '0', '[0, 0]', '[-90, -89]', '[0.0]']
['10:25:19.217', '0', '[0, 0]', '[-90, -90]', '[0.0]']
['10:25:20.007', '0', '[0, 0]', '[-90, -90]', '[-1.0]']
['10:25:20.011', '0', '[0, 0]', '[-90, -90]', '[-2.0]']
['10:25:20.013', '0', '[0, 0]', '[-90, -90]', '[-3.0]']
['10:25:20.018', '0', '[0, 0]', '[-90, -90]', '[-4.0]']
['10:25:20.051', '0', '[0, 0]', '[-90, -90]', '[-11.0]']
['10:25:20.054', '0', '[0, 0]', '[-90, -90]', '[-12.0]']
['10:25:20.056', '0', '[0, 0]', '[-90, -90]', '[-14.0]']
['10:25:20.060', '0', '[0, 0]', '[-90, -90]', '[-15.0]']
['10:25:20.062', '0', '[0, 0]', '[-90, -90]', '[-16.0]']
['10:25:20.064', '0', '[0, 0]', '[-90, -90]', '[-17.0]']
['10:25:20.067', '0', '[0, 0]', '[-90, -90]', '[-19.0]']
['10:25:20.100', '0', '[0, 0]', '[-90, -90]', '[-45.0]']
['10:25:20.102', '0', '[0, 0]', '[-90, -90]', '[-46.0]']
['10:25:20.103', '0', '[0, 0]', '[-90, -90]', '[-48.0]']
['10:25:20.105', '0', '[0, 0]', '[-90, -90]', '[-49.0]']
['10:25:20.107', '0', '[0, 0]', '[-90, -90]', '[-51.0]']
['10:25:20.108', '0', '[0, 0]', '[-90, -90]', '[-53.0]']
['10:25:20.109', '0', '[0, 0]', '[-90, -90]', '[-54.0]']
['10:25:20.111', '0', '[0, 0]', '[-90, -90]', '[-56.0]']
['10:25:20.113', '0', '[0, 0]', '[-90, -90]', '[-57.0]']
['10:25:20.115', '0', '[0, 0]', '[-90, -90]', '[-58.0]']
['10:25:20.116', '0', '[0, 0]', '[-90, -90]', '[-62.0]']
['10:25:20.505', '0', '[0, 0]', '[-90, -90]', '[-64.0]']
['10:25:20.845', '0', '[0, 0]', '[-90, -90]', '[-90.0]']
['10:25:26.051', '0.01', '[0, 0]', '[-90, -90]', '[-90.0]']
['10:25:26.099', '0.02', '[0, 0]', '[-90, -90]', '[-90.0]']
['10:25:26.107', '0.03', '[0, 0]', '[-90, -90]', '[-90.0]']
['10:25:26.111', '0.04', '[0, 0]', '[-90, -90]', '[-90.0]']
['10:25:26.114', '0.05', '[0, 0]', '[-90, -90]', '[-90.0]']
['10:25:26.145', '0.08', '[0, 0]', '[-90, -90]', '[-90.0]']
['10:25:26.154', '0.09', '[0, 0]', '[-90, -90]', '[-90.0]']
['10:25:26.247', '0.08', '[0, 0]', '[-90, -90]', '[-90.0]']
['10:25:26.343', '0.07', '[0, 0]', '[-90, -90]', '[-90.0]']
['10:25:26.355', '0.06', '[0, 0]', '[-90, -90]', '[-90.0]']
['10:25:26.396', '0.05', '[0, 0]', '[-90, -90]', '[-90.0]']
['10:25:26.903', '0.05', '[1, 0]', '[-90, -90]', '[-90.0]']
['10:25:26.906', '0.05', '[3, 0]', '[-90, -90]', '[-90.0]']
['10:25:26.908', '0.05', '[4, 0]', '[-90, -90]', '[-90.0]']
['10:25:26.910', '0.05', '[5, 0]', '[-90, -90]', '[-90.0]']
['10:25:26.911', '0.05', '[7, 0]', '[-90, -90]', '[-90.0]']
['10:25:26.913', '0.05', '[8, 0]', '[-90, -90]', '[-90.0]']
['10:25:26.913', '0.05', '[9, 0]', '[-90, -90]', '[-90.0]']
['10:25:26.917', '0.05', '[10, 0]', '[-90, -90]', '[-90.0]']
['10:25:26.947', '0.05', '[19, 0]', '[-90, -90]', '[-90.0]']
['10:25:26.949', '0.05', '[21, 0]', '[-90, -90]', '[-90.0]']
['10:25:26.951', '0.05', '[22, 0]', '[-90, -90]', '[-90.0]']
['10:25:26.952', '0.05', '[24, 0]', '[-90, -90]', '[-90.0]']
['10:25:26.953', '0.05', '[25, 0]', '[-90, -90]', '[-90.0]']
['10:25:26.955', '0.05', '[27, 0]', '[-90, -90]', '[-90.0]']
['10:25:26.957', '0.05', '[29, 0]', '[-90, -90]', '[-90.0]']
['10:25:26.959', '0.05', '[30, 0]', '[-90, -90]', '[-90.0]']
['10:25:26.963', '0.05', '[31, 0]', '[-90, -90]', '[-90.0]']
['10:25:26.966', '0.05', '[32, 0]', '[-90, -90]', '[-90.0]']
['10:25:26.969', '0.05', '[33, 0]', '[-90, -90]', '[-90.0]']
['10:25:26.998', '0.05', '[41, 0]', '[-90, -90]', '[-90.0]']
['10:25:27.000', '0.05', '[42, 0]', '[-90, -90]', '[-90.0]']
['10:25:27.003', '0.05', '[43, 0]', '[-90, -90]', '[-90.0]']
['10:25:27.398', '0.05', '[44, 0]', '[-90, -90]', '[-90.0]']
['10:25:28.097', '0.05', '[44, 0]', '[-71, -90]', '[-90.0]']
['10:25:28.109', '0.05', '[44, 0]', '[-70, -90]', '[-90.0]']
['10:25:28.112', '0.05', '[44, 0]', '[-69, -90]', '[-90.0]']
['10:25:28.115', '0.05', '[44, 0]', '[-68, -90]', '[-90.0]']
['10:25:28.116', '0.05', '[44, 0]', '[-65, -90]', '[-90.0]']
['10:25:28.119', '0.05', '[44, 0]', '[-64, -90]', '[-90.0]']
['10:25:28.145', '0.05', '[44, 0]', '[-47, -90]', '[-90.0]']
['10:25:28.147', '0.05', '[44, 0]', '[-45, -90]', '[-90.0]']
['10:25:28.149', '0.05', '[44, 0]', '[-43, -90]', '[-90.0]']
['10:25:28.150', '0.05', '[44, 0]', '[-42, -90]', '[-90.0]']
['10:25:28.152', '0.05', '[44, 0]', '[-41, -90]', '[-90.0]']
['10:25:28.153', '0.05', '[44, 0]', '[-39, -90]', '[-90.0]']
['10:25:28.156', '0.05', '[44, 0]', '[-38, -90]', '[-90.0]']
