['timestamp', 'frequency', 'amplitudes', 'offsets', 'phase_biases']
['12:03:23.597', '0', '[0, 0]', '[0, -1]', '[0.0]']
['12:03:24.845', '0', '[0, 0]', '[0, -90]', '[0.0]']
['12:03:26.835', '0', '[0, 0]', '[-2, -90]', '[0.0]']
['12:03:26.840', '0', '[0, 0]', '[-4, -90]', '[0.0]']
['12:03:26.863', '0', '[0, 0]', '[-5, -90]', '[0.0]']
['12:03:26.863', '0', '[0, 0]', '[-7, -90]', '[0.0]']
['12:03:26.918', '0', '[0, 0]', '[-8, -90]', '[0.0]']
['12:03:26.936', '0', '[0, 0]', '[-19, -90]', '[0.0]']
['12:03:26.937', '0', '[0, 0]', '[-21, -90]', '[0.0]']
['12:03:26.939', '0', '[0, 0]', '[-23, -90]', '[0.0]']
['12:03:26.941', '0', '[0, 0]', '[-26, -90]', '[0.0]']
['12:03:26.941', '0', '[0, 0]', '[-28, -90]', '[0.0]']
['12:03:26.943', '0', '[0, 0]', '[-30, -90]', '[0.0]']
['12:03:26.945', '0', '[0, 0]', '[-34, -90]', '[0.0]']
['12:03:26.985', '0', '[0, 0]', '[-80, -90]', '[0.0]']
['12:03:26.989', '0', '[0, 0]', '[-81, -90]', '[0.0]']
['12:03:26.992', '0', '[0, 0]', '[-82, -90]', '[0.0]']
['12:03:27.009', '0', '[0, 0]', '[-85, -90]', '[0.0]']
['12:03:27.009', '0', '[0, 0]', '[-87, -90]', '[0.0]']
['12:03:27.012', '0', '[0, 0]', '[-88, -90]', '[0.0]']
['12:03:27.014', '0', '[0, 0]', '[-89, -90]', '[0.0]']
['12:03:27.017', '0', '[0, 0]', '[-90, -90]', '[0.0]']
['12:03:27.918', '0', '[0, 0]', '[-90, -90]', '[-1.0]']
['12:03:27.935', '0', '[0, 0]', '[-90, -90]', '[-4.0]']
['12:03:27.977', '0', '[0, 0]', '[-90, -90]', '[-7.0]']
['12:03:27.977', '0', '[0, 0]', '[-90, -90]', '[-9.0]']
['12:03:27.986', '0', '[0, 0]', '[-90, -90]', '[-11.0]']
['12:03:27.989', '0', '[0, 0]', '[-90, -90]', '[-13.0]']
['12:03:27.991', '0', '[0, 0]', '[-90, -90]', '[-15.0]']
['12:03:27.993', '0', '[0, 0]', '[-90, -90]', '[-16.0]']
['12:03:27.996', '0', '[0, 0]', '[-90, -90]', '[-18.0]']
['12:03:27.996', '0', '[0, 0]', '[-90, -90]', '[-19.0]']
['12:03:28.009', '0', '[0, 0]', '[-90, -90]', '[-54.0]']
['12:03:28.011', '0', '[0, 0]', '[-90, -90]', '[-56.0]']
['12:03:28.016', '0', '[0, 0]', '[-90, -90]', '[-73.0]']
['12:03:28.033', '0', '[0, 0]', '[-90, -90]', '[-87.0]']
['12:03:28.033', '0', '[0, 0]', '[-90, -90]', '[-90.0]']
['12:03:45.900', '0.8', '[0, 0]', '[-90, -90]', '[-90.0]']
['12:03:46.106', '0.8', '[16, 0]', '[-90, -90]', '[-90.0]']
['12:03:46.306', '0.8', '[16, 0]', '[-41, -90]', '[-90.0]']
['12:03:46.503', '0.8', '[16, 78]', '[-41, -90]', '[-90.0]']
['12:03:46.706', '0.8', '[16, 78]', '[-41, 78]', '[-90.0]']
['12:03:55.130', '0.2', '[16, 78]', '[-41, 78]', '[-90.0]']
['12:03:55.332', '0.2', '[48, 78]', '[-41, 78]', '[-90.0]']
['12:03:55.552', '0.2', '[48, 78]', '[23, 78]', '[-90.0]']
['12:03:55.931', '0.2', '[48, 78]', '[23, -13]', '[-90.0]']
['12:03:56.135', '0.2', '[48, 78]', '[23, -13]', '[-44.0]']
['12:04:04.378', '0.0', '[48, 78]', '[23, -13]', '[-44.0]']
['12:04:04.777', '0.0', '[48, 78]', '[-88, -13]', '[-44.0]']
['12:04:04.974', '0.0', '[48, 0]', '[-88, -13]', '[-44.0]']
['12:04:05.178', '0.0', '[48, 0]', '[-88, -28]', '[-44.0]']
['12:04:05.366', '0.0', '[48, 0]', '[-88, -28]', '[17.0]']
['12:04:13.605', '0.7', '[48, 0]', '[-88, -28]', '[17.0]']
['12:04:13.800', '0.7', '[16, 0]', '[-88, -28]', '[17.0]']
['12:04:14.022', '0.7', '[16, 0]', '[-8, -28]', '[17.0]']
['12:04:14.394', '0.7', '[16, 0]', '[-8, -74]', '[17.0]']
['12:04:14.624', '0.7', '[16, 0]', '[-8, -74]', '[-43.0]']
['12:04:22.809', '0.4', '[16, 0]', '[-8, -74]', '[-43.0]']
['12:04:23.018', '0.4', '[64, 0]', '[-8, -74]', '[-43.0]']
['12:04:23.248', '0.4', '[64, 0]', '[56, -74]', '[-43.0]']
['12:04:23.666', '0.4', '[64, 0]', '[56, 79]', '[-43.0]']
['12:04:23.828', '0.4', '[64, 0]', '[56, 79]', '[4.0]']
