['timestamp', 'frequency', 'amplitudes', 'offsets', 'phase_biases']
['12:36:41.007', '0', '[0, 0]', '[1, 0]', '[0.0]']
['12:36:41.014', '0', '[0, 0]', '[2, 0]', '[0.0]']
['12:36:41.039', '0', '[0, 0]', '[5, 0]', '[0.0]']
['12:36:41.046', '0', '[0, 0]', '[4, 0]', '[0.0]']
['12:36:41.053', '0', '[0, 0]', '[3, 0]', '[0.0]']
['12:36:41.059', '0', '[0, 0]', '[2, 0]', '[0.0]']
['12:36:41.064', '0', '[0, 0]', '[1, 0]', '[0.0]']
['12:36:41.093', '0', '[0, 0]', '[-34, 0]', '[0.0]']
['12:36:41.095', '0', '[0, 0]', '[-37, 0]', '[0.0]']
['12:36:41.095', '0', '[0, 0]', '[-42, 0]', '[0.0]']
['12:36:41.097', '0', '[0, 0]', '[-44, 0]', '[0.0]']
['12:36:41.099', '0', '[0, 0]', '[-52, 0]', '[0.0]']
['12:36:41.100', '0', '[0, 0]', '[-56, 0]', '[0.0]']
['12:36:41.102', '0', '[0, 0]', '[-57, 0]', '[0.0]']
['12:36:41.102', '0', '[0, 0]', '[-62, 0]', '[0.0]']
['12:36:41.104', '0', '[0, 0]', '[-68, 0]', '[0.0]']
['12:36:41.106', '0', '[0, 0]', '[-73, 0]', '[0.0]']
['12:36:41.108', '0', '[0, 0]', '[-80, 0]', '[0.0]']
['12:36:41.109', '0', '[0, 0]', '[-90, 0]', '[0.0]']
['12:36:42.153', '0', '[0, 0]', '[-90, -1]', '[0.0]']
['12:36:42.155', '0', '[0, 0]', '[-90, -3]', '[0.0]']
['12:36:42.159', '0', '[0, 0]', '[-90, -4]', '[0.0]']
['12:36:42.194', '0', '[0, 0]', '[-90, -11]', '[0.0]']
['12:36:42.195', '0', '[0, 0]', '[-90, -12]', '[0.0]']
['12:36:42.197', '0', '[0, 0]', '[-90, -14]', '[0.0]']
['12:36:42.202', '0', '[0, 0]', '[-90, -16]', '[0.0]']
['12:36:42.204', '0', '[0, 0]', '[-90, -17]', '[0.0]']
['12:36:42.206', '0', '[0, 0]', '[-90, -18]', '[0.0]']
['12:36:42.207', '0', '[0, 0]', '[-90, -20]', '[0.0]']
['12:36:42.210', '0', '[0, 0]', '[-90, -21]', '[0.0]']
['12:36:42.214', '0', '[0, 0]', '[-90, -22]', '[0.0]']
['12:36:42.216', '0', '[0, 0]', '[-90, -24]', '[0.0]']
['12:36:42.242', '0', '[0, 0]', '[-90, -79]', '[0.0]']
['12:36:42.244', '0', '[0, 0]', '[-90, -90]', '[0.0]']
['12:36:43.141', '0', '[0, 0]', '[-90, -90]', '[-1.0]']
['12:36:43.145', '0', '[0, 0]', '[-90, -90]', '[-2.0]']
['12:36:43.146', '0', '[0, 0]', '[-90, -90]', '[-3.0]']
['12:36:43.148', '0', '[0, 0]', '[-90, -90]', '[-5.0]']
['12:36:43.149', '0', '[0, 0]', '[-90, -90]', '[-7.0]']
['12:36:43.153', '0', '[0, 0]', '[-90, -90]', '[-8.0]']
['12:36:43.155', '0', '[0, 0]', '[-90, -90]', '[-9.0]']
['12:36:43.158', '0', '[0, 0]', '[-90, -90]', '[-16.0]']
['12:36:43.159', '0', '[0, 0]', '[-90, -90]', '[-20.0]']
['12:36:43.160', '0', '[0, 0]', '[-90, -90]', '[-26.0]']
['12:36:43.162', '0', '[0, 0]', '[-90, -90]', '[-30.0]']
['12:36:43.164', '0', '[0, 0]', '[-90, -90]', '[-38.0]']
['12:36:43.194', '0', '[0, 0]', '[-90, -90]', '[-90.0]']
['12:37:44.449', '0.3', '[0, 0]', '[-90, -90]', '[-90.0]']
['12:37:44.849', '0.3', '[0, 0]', '[-10, -90]', '[-90.0]']
['12:37:45.052', '0.3', '[0, 32]', '[-10, -90]', '[-90.0]']
['12:37:45.250', '0.3', '[0, 32]', '[-10, 2]', '[-90.0]']
['12:37:45.454', '0.3', '[0, 32]', '[-10, 2]', '[-44.0]']
['12:37:53.672', '0.7', '[0, 32]', '[-10, 2]', '[-44.0]']
['12:37:53.895', '0.7', '[48, 32]', '[-10, 2]', '[-44.0]']
['12:37:54.100', '0.7', '[48, 32]', '[-74, 2]', '[-44.0]']
['12:37:54.523', '0.7', '[48, 32]', '[-74, 47]', '[-44.0]']
['12:37:54.722', '0.7', '[48, 32]', '[-74, 47]', '[79.0]']
['12:38:02.921', '0.4', '[48, 32]', '[-74, 47]', '[79.0]']
['12:38:03.344', '0.4', '[48, 32]', '[-25, 47]', '[79.0]']
['12:38:03.764', '0.4', '[48, 32]', '[-25, 32]', '[79.0]']
['12:38:03.921', '0.4', '[48, 32]', '[-25, 32]', '[48.0]']
['12:38:12.338', '0.4', '[79, 32]', '[-25, 32]', '[48.0]']
['12:38:12.541', '0.4', '[79, 32]', '[-40, 32]', '[48.0]']
['12:38:12.766', '0.4', '[79, 63]', '[-40, 32]', '[48.0]']
['12:38:12.967', '0.4', '[79, 63]', '[-40, -89]', '[48.0]']
['12:38:21.788', '0.4', '[79, 63]', '[56, -89]', '[48.0]']
['12:38:22.207', '0.4', '[79, 63]', '[56, -74]', '[48.0]']
['12:38:22.405', '0.4', '[79, 63]', '[56, -74]', '[33.0]']
['12:38:30.626', '0.9', '[79, 63]', '[56, -74]', '[33.0]']
['12:38:30.825', '0.9', '[47, 63]', '[56, -74]', '[33.0]']
['12:38:31.025', '0.9', '[47, 63]', '[-9, -74]', '[33.0]']
['12:38:31.224', '0.9', '[47, 16]', '[-9, -74]', '[33.0]']
['12:38:31.433', '0.9', '[47, 16]', '[-9, 18]', '[33.0]']
['12:38:31.634', '0.9', '[47, 16]', '[-9, 18]', '[-28.0]']
['12:38:39.851', '0.1', '[47, 16]', '[-9, 18]', '[-28.0]']
['12:38:40.054', '0.1', '[63, 16]', '[-9, 18]', '[-28.0]']
['12:38:40.255', '0.1', '[63, 16]', '[23, 18]', '[-28.0]']
['12:38:40.852', '0.1', '[63, 16]', '[23, 18]', '[-88.0]']
['12:38:49.074', '0.8', '[63, 16]', '[23, 18]', '[-88.0]']
['12:38:49.291', '0.8', '[47, 16]', '[23, 18]', '[-88.0]']
['12:38:49.469', '0.8', '[47, 16]', '[71, 18]', '[-88.0]']
['12:38:49.700', '0.8', '[47, 47]', '[71, 18]', '[-88.0]']
['12:38:50.101', '0.8', '[47, 47]', '[71, 18]', '[-73.0]']
['12:38:58.319', '0.3', '[47, 47]', '[71, 18]', '[-73.0]']
['12:38:58.505', '0.3', '[15, 47]', '[71, 18]', '[-73.0]']
['12:38:58.709', '0.3', '[15, 47]', '[7, 18]', '[-73.0]']
['12:38:58.914', '0.3', '[15, 32]', '[7, 18]', '[-73.0]']
['12:38:59.116', '0.3', '[15, 32]', '[7, 49]', '[-73.0]']
['12:39:07.536', '0.4', '[15, 32]', '[7, 49]', '[-73.0]']
