['12:02:30.640', '[6.]']
['12:02:30.664', '[6.]']
['12:02:30.690', '[6.]']
['12:02:30.714', '[6.]']
['12:02:30.736', '[6.]']
['12:02:30.751', '[6.]']
['12:02:30.766', '[6.]']
['12:02:30.787', '[6.]']
['12:02:30.815', '[6.]']
['12:02:30.839', '[6.]']
['12:02:30.863', '[6.]']
['12:02:30.885', '[6.]']
['12:02:30.909', '[6.]']
['12:02:30.936', '[6.]']
['12:02:30.961', '[6.]']
['12:02:30.982', '[6.]']
['12:02:31.010', '[6.]']
['12:02:31.035', '[6.]']
['12:02:31.060', '[6.]']
['12:02:31.084', '[7.]']
['12:02:31.110', '[6.]']
['12:02:31.132', '[6.]']
['12:02:31.160', '[6.]']
['12:02:31.181', '[7.]']
['12:02:31.210', '[6.]']
['12:02:31.231', '[6.]']
['12:02:31.264', '[6.]']
['12:02:31.282', '[6.]']
['12:02:31.311', '[7.]']
['12:02:31.331', '[6.]']
['12:02:31.359', '[6.]']
['12:02:31.381', '[6.]']
['12:02:31.410', '[6.]']
['12:02:31.432', '[6.]']
['12:02:31.461', '[6.]']
['12:02:31.481', '[6.]']
['12:02:31.509', '[6.]']
['12:02:31.532', '[6.]']
['12:02:31.560', '[6.]']
['12:02:31.581', '[6.]']
['12:02:31.610', '[6.]']
['12:02:31.634', '[6.]']
['12:02:31.661', '[6.]']
['12:02:31.683', '[6.]']
['12:02:31.711', '[6.]']
['12:02:31.732', '[6.]']
['12:02:31.806', '[6.]']
['12:02:31.818', '[6.]']
['12:02:31.831', '[6.]']
['12:02:31.861', '[6.]']
['12:02:31.882', '[7.]']
['12:02:31.911', '[6.]']
['12:02:31.933', '[6.]']
['12:02:31.960', '[7.]']
['12:02:31.982', '[6.]']
['12:02:32.010', '[6.]']
['12:02:32.032', '[6.]']
['12:02:32.061', '[6.]']
['12:02:32.083', '[6.]']
['12:02:32.111', '[6.]']
['12:02:32.133', '[6.]']
['12:02:32.161', '[6.]']
['12:02:32.183', '[6.]']
['12:02:32.212', '[6.]']
['12:02:32.234', '[6.]']
['12:02:32.259', '[6.]']
['12:02:32.283', '[6.]']
['12:02:32.312', '[6.]']
['12:02:32.333', '[6.]']
['12:02:32.362', '[6.]']
['12:02:32.382', '[6.]']
['12:02:32.410', '[6.]']
['12:02:32.434', '[6.]']
['12:02:32.461', '[6.]']
['12:02:32.483', '[6.]']
['12:02:32.511', '[6.]']
['12:02:32.534', '[6.]']
['12:02:32.560', '[6.]']
['12:02:32.583', '[6.]']
['12:02:32.617', '[6.]']
['12:02:32.638', '[6.]']
['12:02:32.663', '[6.]']
['12:02:32.692', '[6.]']
['12:02:32.711', '[7.]']
['12:02:32.739', '[6.]']
['12:02:32.771', '[6.]']
['12:02:32.796', '[6.]']
['12:02:32.814', '[6.]']
['12:02:32.833', '[6.]']
['12:02:32.859', '[6.]']
['12:02:32.882', '[6.]']
['12:02:32.910', '[6.]']
['12:02:32.934', '[6.]']
['12:02:32.960', '[6.]']
['12:02:32.982', '[6.]']
['12:02:33.010', '[6.]']
['12:02:33.033', '[6.]']
['12:02:33.059', '[6.]']
['12:02:33.083', '[6.]']
['12:02:33.107', '[6.]']
['12:02:33.135', '[6.]']
['12:02:33.158', '[6.]']
['12:02:33.183', '[6.]']
['12:02:33.210', '[6.]']
['12:02:33.234', '[6.]']
['12:02:33.257', '[6.]']
['12:02:33.284', '[6.]']
['12:02:33.309', '[6.]']
['12:02:33.334', '[6.]']
['12:02:33.359', '[6.]']
['12:02:33.384', '[6.]']
['12:02:33.409', '[6.]']
['12:02:33.433', '[6.]']
['12:02:33.457', '[6.]']
['12:02:33.485', '[6.]']
['12:02:33.506', '[6.]']
['12:02:33.533', '[6.]']
['12:02:33.557', '[6.]']
['12:02:33.583', '[6.]']
['12:02:33.608', '[6.]']
['12:02:33.633', '[6.]']
['12:02:33.656', '[6.]']
['12:02:33.683', '[6.]']
['12:02:33.708', '[6.]']
['12:02:33.735', '[6.]']
['12:02:33.758', '[6.]']
['12:02:33.785', '[6.]']
['12:02:33.806', '[6.]']
['12:02:33.833', '[6.]']
['12:02:33.856', '[6.]']
['12:02:33.885', '[6.]']
['12:02:33.908', '[6.]']
['12:02:33.966', '[6.]']
['12:02:33.978', '[6.]']
['12:02:33.988', '[6.]']
['12:02:34.009', '[6.]']
['12:02:34.034', '[6.]']
['12:02:34.057', '[6.]']
['12:02:34.085', '[6.]']
['12:02:34.109', '[6.]']
['12:02:34.134', '[6.]']
['12:02:34.156', '[6.]']
['12:02:34.182', '[6.]']
['12:02:34.206', '[6.]']
['12:02:34.233', '[6.]']
['12:02:34.258', '[6.]']
['12:02:34.285', '[6.]']
['12:02:34.306', '[6.]']
['12:02:34.335', '[6.]']
['12:02:34.358', '[6.]']
['12:02:34.384', '[6.]']
['12:02:34.406', '[6.]']
['12:02:34.433', '[6.]']
['12:02:34.456', '[6.]']
['12:02:34.483', '[6.]']
['12:02:34.505', '[6.]']
['12:02:34.535', '[6.]']
['12:02:34.555', '[6.]']
['12:02:34.584', '[6.]']
['12:02:34.605', '[6.]']
['12:02:34.635', '[6.]']
['12:02:34.657', '[6.]']
['12:02:34.686', '[6.]']
['12:02:34.708', '[6.]']
['12:02:34.734', '[6.]']
['12:02:34.755', '[6.]']
['12:02:34.784', '[6.]']
['12:02:34.805', '[6.]']
['12:02:34.834', '[6.]']
['12:02:34.856', '[6.]']
['12:02:34.885', '[6.]']
['12:02:34.905', '[6.]']
['12:02:34.936', '[6.]']
['12:02:34.957', '[6.]']
['12:02:34.985', '[7.]']
['12:02:35.005', '[6.]']
['12:02:35.035', '[6.]']
['12:02:35.055', '[6.]']
['12:02:35.084', '[6.]']
['12:02:35.106', '[6.]']
['12:02:35.135', '[6.]']
['12:02:35.156', '[6.]']
['12:02:35.185', '[6.]']
['12:02:35.206', '[6.]']
['12:02:35.235', '[6.]']
['12:02:35.256', '[6.]']
['12:02:35.285', '[6.]']
['12:02:35.306', '[6.]']
['12:02:35.335', '[6.]']
['12:02:35.356', '[6.]']
['12:02:35.384', '[6.]']
['12:02:35.406', '[6.]']
['12:02:35.434', '[6.]']
['12:02:35.457', '[6.]']
['12:02:35.484', '[6.]']
['12:02:35.508', '[6.]']
['12:02:35.535', '[6.]']
['12:02:35.562', '[6.]']
['12:02:35.585', '[6.]']
['12:02:35.608', '[6.]']
['12:02:35.641', '[6.]']
['12:02:35.660', '[6.]']
['12:02:35.685', '[6.]']
['12:02:35.708', '[6.]']
['12:02:35.735', '[6.]']
['12:02:35.758', '[6.]']
['12:02:35.784', '[6.]']
['12:02:35.808', '[6.]']
['12:02:35.834', '[6.]']
['12:02:35.857', '[6.]']
['12:02:35.884', '[6.]']
['12:02:35.909', '[6.]']
['12:02:35.934', '[6.]']
['12:02:35.960', '[6.]']
['12:02:35.984', '[6.]']
['12:02:36.008', '[6.]']
['12:02:36.033', '[6.]']
['12:02:36.058', '[6.]']
['12:02:36.084', '[6.]']
['12:02:36.107', '[6.]']
['12:02:36.134', '[6.]']
['12:02:36.156', '[6.]']
['12:02:36.182', '[7.]']
['12:02:36.208', '[6.]']
['12:02:36.231', '[6.]']
['12:02:36.259', '[6.]']
['12:02:36.289', '[6.]']
['12:02:36.315', '[6.]']
['12:02:36.334', '[6.]']
['12:02:36.362', '[6.]']
['12:02:36.384', '[6.]']
['12:02:36.409', '[6.]']
['12:02:36.433', '[6.]']
['12:02:36.460', '[6.]']
['12:02:36.483', '[6.]']
['12:02:36.509', '[6.]']
['12:02:36.531', '[6.]']
['12:02:36.558', '[7.]']
['12:02:36.583', '[7.]']
['12:02:36.609', '[6.]']
