['12:02:59.331', '[6. 4.]']
['12:02:59.355', '[6. 4.]']
['12:02:59.384', '[6. 4.]']
['12:02:59.417', '[6. 4.]']
['12:02:59.448', '[6. 4.]']
['12:02:59.475', '[6. 4.]']
['12:02:59.498', '[6. 4.]']
['12:02:59.514', '[6. 4.]']
['12:02:59.534', '[6. 4.]']
['12:02:59.558', '[6. 4.]']
['12:02:59.574', '[6. 4.]']
['12:02:59.590', '[6. 4.]']
['12:02:59.606', '[6. 4.]']
['12:02:59.619', '[6. 4.]']
['12:02:59.632', '[6. 4.]']
['12:02:59.642', '[6. 4.]']
['12:02:59.684', '[7. 4.]']
['12:02:59.695', '[6. 4.]']
['12:02:59.709', '[7. 4.]']
['12:02:59.735', '[6. 4.]']
['12:02:59.756', '[6. 4.]']
['12:02:59.785', '[6. 4.]']
['12:02:59.806', '[6. 4.]']
['12:02:59.835', '[6. 4.]']
['12:02:59.857', '[6. 4.]']
['12:02:59.885', '[6. 4.]']
['12:02:59.924', '[6. 4.]']
['12:02:59.939', '[6. 4.]']
['12:02:59.959', '[6. 4.]']
['12:03:00.004', '[6. 4.]']
['12:03:00.026', '[6. 4.]']
['12:03:00.049', '[6. 4.]']
['12:03:00.064', '[6. 4.]']
['12:03:00.086', '[7. 4.]']
['12:03:00.109', '[6. 4.]']
['12:03:00.137', '[6. 4.]']
['12:03:00.161', '[6. 4.]']
['12:03:00.187', '[6. 4.]']
['12:03:00.209', '[6. 5.]']
['12:03:00.238', '[6. 4.]']
['12:03:00.262', '[6. 4.]']
['12:03:00.292', '[6. 5.]']
['12:03:00.317', '[6. 4.]']
['12:03:00.337', '[6. 4.]']
['12:03:00.359', '[6. 4.]']
['12:03:00.387', '[6. 4.]']
['12:03:00.408', '[6. 4.]']
['12:03:00.440', '[6. 4.]']
['12:03:00.465', '[6. 4.]']
['12:03:00.486', '[6. 4.]']
['12:03:00.510', '[6. 4.]']
['12:03:00.542', '[6. 4.]']
['12:03:00.570', '[6. 4.]']
['12:03:00.589', '[6. 4.]']
['12:03:00.614', '[6. 4.]']
['12:03:00.643', '[6. 4.]']
['12:03:00.667', '[6. 4.]']
['12:03:00.696', '[6. 4.]']
['12:03:00.728', '[6. 4.]']
['12:03:00.748', '[6. 4.]']
['12:03:00.767', '[6. 4.]']
['12:03:00.794', '[6. 4.]']
['12:03:00.811', '[6. 4.]']
['12:03:00.838', '[6. 4.]']
['12:03:00.862', '[6. 4.]']
['12:03:00.890', '[6. 4.]']
['12:03:00.911', '[6. 4.]']
['12:03:00.949', '[6. 5.]']
['12:03:00.968', '[6. 4.]']
['12:03:00.993', '[6. 4.]']
['12:03:01.014', '[6. 4.]']
['12:03:01.049', '[6. 4.]']
['12:03:01.074', '[6. 5.]']
['12:03:01.099', '[6. 4.]']
['12:03:01.117', '[6. 4.]']
['12:03:01.142', '[6. 4.]']
['12:03:01.162', '[6. 4.]']
['12:03:01.189', '[6. 4.]']
['12:03:01.213', '[6. 4.]']
['12:03:01.238', '[6. 4.]']
['12:03:01.264', '[6. 4.]']
['12:03:01.289', '[6. 4.]']
['12:03:01.308', '[7. 4.]']
['12:03:01.334', '[6. 4.]']
['12:03:01.362', '[6. 4.]']
['12:03:01.387', '[6. 4.]']
['12:03:01.407', '[6. 4.]']
['12:03:01.435', '[6. 4.]']
['12:03:01.459', '[6. 4.]']
['12:03:01.486', '[6. 4.]']
['12:03:01.509', '[6. 4.]']
['12:03:01.535', '[6. 4.]']
['12:03:01.572', '[6. 4.]']
['12:03:01.585', '[6. 4.]']
['12:03:01.619', '[6. 5.]']
['12:03:01.639', '[6. 4.]']
['12:03:01.661', '[6. 4.]']
['12:03:01.686', '[6. 4.]']
['12:03:01.708', '[6. 4.]']
['12:03:01.736', '[6. 4.]']
['12:03:01.759', '[6. 5.]']
['12:03:01.786', '[6. 5.]']
['12:03:01.809', '[6. 4.]']
['12:03:01.835', '[6. 4.]']
['12:03:01.858', '[6. 4.]']
['12:03:01.884', '[7. 5.]']
['12:03:01.908', '[6. 4.]']
['12:03:01.935', '[6. 5.]']
['12:03:01.958', '[6. 4.]']
['12:03:01.984', '[6. 4.]']
