Timestamp,Snelheid,Omvang1,Positie1,Omvang2,Positie2,Relatie
10:30:34.709074,5.0,0.0,75.0,45.0,60.0,45.0
10:30:46.039266,6.0,30.0,60.0,60.0,-15.0,-15.0
10:30:57.363500,8.0,0.0,-30.0,45.0,-75.0,0.0
10:31:08.672069,5.0,15.0,-90.0,15.0,-15.0,-75.0
10:31:19.981769,9.0,75.0,-90.0,60.0,-30.0,0.0
10:31:31.298064,3.0,45.0,0.0,75.0,75.0,75.0
10:31:42.616759,5.0,30.0,30.0,30.0,60.0,-45.0
10:31:53.940414,3.0,60.0,-60.0,60.0,45.0,-60.0
10:32:05.256538,1.0,15.0,-15.0,0.0,-75.0,75.0
10:32:16.552877,0.0,30.0,-45.0,60.0,-90.0,75.0
10:32:27.874877,9.0,75.0,-75.0,30.0,15.0,30.0
10:32:39.179404,8.0,30.0,-60.0,75.0,30.0,-30.0
10:32:50.485320,3.0,45.0,-90.0,45.0,-75.0,0.0
10:33:01.795338,1.0,30.0,15.0,75.0,30.0,60.0
10:33:13.108020,7.0,15.0,-75.0,60.0,30.0,-30.0
10:33:24.422779,2.0,30.0,60.0,45.0,-15.0,75.0
10:33:35.739745,1.0,30.0,-90.0,75.0,60.0,-45.0
10:33:47.048770,6.0,45.0,60.0,15.0,15.0,0.0
10:33:58.361422,4.0,0.0,-30.0,45.0,75.0,-45.0
10:34:09.681624,0.0,30.0,-30.0,0.0,15.0,60.0
10:34:20.987785,9.0,60.0,-75.0,75.0,45.0,0.0
10:34:32.304143,6.0,45.0,-45.0,45.0,-45.0,-15.0
10:34:43.621245,7.0,15.0,60.0,15.0,30.0,-45.0
10:34:54.938739,1.0,75.0,15.0,60.0,-60.0,-30.0
10:35:06.247012,0.0,0.0,-90.0,45.0,30.0,60.0
10:35:17.556552,6.0,45.0,75.0,0.0,-60.0,-15.0
10:35:28.868066,2.0,75.0,-15.0,75.0,60.0,30.0
10:35:40.193143,2.0,15.0,15.0,45.0,60.0,30.0
10:35:51.541444,2.0,60.0,-15.0,60.0,-30.0,-30.0
10:36:02.860460,0.0,0.0,-45.0,15.0,-75.0,30.0
10:36:14.202900,1.0,60.0,-60.0,0.0,0.0,45.0
10:36:25.534868,6.0,30.0,-30.0,0.0,-30.0,60.0
10:36:36.840903,4.0,30.0,30.0,0.0,0.0,60.0
10:36:48.152653,2.0,75.0,30.0,60.0,-60.0,-45.0
10:36:59.468737,4.0,75.0,-90.0,0.0,-60.0,0.0
10:37:10.779992,5.0,75.0,15.0,75.0,60.0,-90.0
10:37:22.091927,1.0,60.0,-45.0,15.0,60.0,-60.0
10:37:33.414741,1.0,60.0,0.0,0.0,-60.0,-45.0
10:37:44.745571,9.0,75.0,30.0,45.0,-75.0,75.0
10:37:56.055335,9.0,30.0,-75.0,75.0,45.0,-30.0
10:38:07.376746,3.0,0.0,45.0,15.0,-60.0,0.0
10:38:18.688239,6.0,60.0,-60.0,60.0,-90.0,-60.0
10:38:30.031530,7.0,30.0,-75.0,0.0,-30.0,-15.0
