,Snelheid,Omvang1,Positie1,Omvang2,Positie2,Relatie,Speed
0,0.0,0.0,-15.0,15.0,-75.0,15.0,1.0120874266530913
1,0.0,0.0,15.0,30.0,30.0,-90.0,0.8448455072808672
2,0.0,0.0,15.0,60.0,-30.0,-90.0,2.4913734427695724
3,0.0,0.0,45.0,60.0,75.0,60.0,1.2496595192540378
4,0.0,0.0,75.0,30.0,-75.0,-90.0,1.1129121639802846
5,0.0,15.0,-75.0,15.0,60.0,-60.0,1.2042310926122517
6,0.0,15.0,-60.0,15.0,45.0,-60.0,0.3321270272620821
7,0.0,15.0,-30.0,0.0,0.0,-15.0,0.4978500876936381
8,0.0,15.0,-30.0,60.0,-90.0,0.0,1.5686948644804122
9,0.0,15.0,-15.0,60.0,-60.0,0.0,0.9391312040438207
10,0.0,15.0,15.0,0.0,0.0,-15.0,1.7490592530300322
11,0.0,15.0,15.0,30.0,-45.0,-75.0,1.2913268393182193
12,0.0,15.0,15.0,30.0,0.0,45.0,0.7400220137594069
13,0.0,15.0,30.0,45.0,60.0,45.0,1.2217136909222193
14,0.0,15.0,30.0,75.0,30.0,0.0,2.180290246831491
15,0.0,15.0,75.0,0.0,-30.0,-15.0,1.3944676223945784
16,0.0,30.0,-90.0,60.0,60.0,0.0,1.7966330495988942
17,0.0,30.0,-75.0,15.0,75.0,-45.0,0.9529823387319439
18,0.0,30.0,0.0,15.0,15.0,75.0,1.1815784939332759
19,0.0,30.0,45.0,75.0,-30.0,-30.0,0.7389932639037036
20,0.0,45.0,-90.0,0.0,-30.0,15.0,1.2700538162331843
21,0.0,45.0,-75.0,30.0,45.0,0.0,1.1985086002749898
22,0.0,45.0,-60.0,75.0,60.0,-45.0,1.8432447095484594
23,0.0,45.0,-45.0,45.0,75.0,-75.0,1.5435290933277792
24,0.0,45.0,-30.0,15.0,-45.0,-90.0,0.677469938567522
25,0.0,45.0,-15.0,15.0,75.0,-60.0,0.7447360438228553
26,0.0,45.0,-15.0,45.0,45.0,-60.0,1.4489693634328142
27,0.0,45.0,-15.0,75.0,-60.0,45.0,0.2631992296739383
28,0.0,45.0,0.0,45.0,0.0,30.0,0.45630206370445725
29,0.0,45.0,0.0,75.0,-60.0,45.0,0.8831453212949973
30,0.0,45.0,15.0,0.0,60.0,30.0,0.871388826090415
31,0.0,45.0,15.0,75.0,-75.0,75.0,1.1401667744222188
32,0.0,45.0,30.0,15.0,-45.0,75.0,1.5644706965832134
33,0.0,45.0,45.0,30.0,60.0,-60.0,0.9926660330940702
34,0.0,45.0,60.0,45.0,45.0,-30.0,0.7008210890472552
35,0.0,45.0,75.0,60.0,30.0,-75.0,1.959285187828861
36,0.0,60.0,-45.0,0.0,-90.0,15.0,1.4113196462031292
37,0.0,60.0,-45.0,30.0,-15.0,-45.0,1.9110015212011084
38,0.0,60.0,-45.0,30.0,45.0,75.0,1.7080156044937425
39,0.0,60.0,-30.0,60.0,45.0,-15.0,0.807952633693587
40,0.0,60.0,30.0,75.0,-15.0,0.0,1.309778512132596
41,0.0,60.0,30.0,75.0,15.0,-30.0,1.289496827260542
42,0.0,60.0,45.0,0.0,-30.0,15.0,1.2704891171067834
43,0.0,60.0,75.0,75.0,0.0,-45.0,2.1450464066544064
44,0.0,75.0,-90.0,0.0,-15.0,-90.0,2.1281335985450496
45,0.0,75.0,-90.0,45.0,60.0,-90.0,0.6516868172514653
46,0.0,75.0,-60.0,15.0,0.0,-60.0,2.1551057144055092
47,0.0,75.0,-45.0,75.0,45.0,15.0,1.2056863225987158
48,0.0,75.0,-30.0,15.0,75.0,45.0,1.0923991749939455
49,0.0,75.0,15.0,75.0,-45.0,30.0,0.7584819278669541
50,0.0,75.0,30.0,0.0,-45.0,30.0,1.3694349286241687
51,0.0,75.0,30.0,45.0,60.0,45.0,2.220027512397371
52,0.0,75.0,75.0,15.0,-60.0,15.0,1.0445265584355021
53,0.0,75.0,75.0,60.0,15.0,30.0,0.9970843572709907
54,1.0,0.0,-90.0,0.0,15.0,0.0,0.7461745184187613
55,1.0,0.0,-90.0,30.0,-60.0,-15.0,1.856174104054503
56,1.0,0.0,-75.0,60.0,75.0,30.0,1.2493233121598144
57,1.0,0.0,-60.0,30.0,-90.0,-45.0,2.1882712672909035
58,1.0,0.0,-60.0,45.0,-45.0,-45.0,2.0469056546212263
59,1.0,0.0,-15.0,0.0,-75.0,30.0,0.4777055938952064
60,1.0,0.0,0.0,45.0,-75.0,75.0,1.8080203737587381
61,1.0,0.0,75.0,75.0,15.0,30.0,1.3573586453073165
62,1.0,15.0,-45.0,15.0,-90.0,0.0,1.1600365918165056
63,1.0,15.0,-45.0,30.0,-30.0,-90.0,1.2381450813336095
64,1.0,15.0,0.0,30.0,0.0,-75.0,1.793704015815343
