Snelheid,Omvang1,Positie1,Omvang2,Positie2,Relatie,Speed
5.0,30.0,-75.0,45.0,30.0,-60.0,0.27791685210013145
5.0,30.0,-60.0,60.0,-15.0,-75.0,0.7652137848567033
5.0,30.0,-45.0,45.0,15.0,-90.0,0.1200063648221336
5.0,30.0,-30.0,45.0,-60.0,45.0,1.5008259385417766
5.0,30.0,-30.0,45.0,-30.0,45.0,0.3776442192184376
5.0,30.0,-15.0,60.0,15.0,60.0,0.5065569002287127
5.0,30.0,30.0,30.0,45.0,-75.0,1.08873934517346
5.0,30.0,45.0,60.0,-30.0,-75.0,0.5785381914723048
5.0,30.0,45.0,60.0,30.0,60.0,0.24320996010780524
5.0,30.0,60.0,45.0,45.0,-90.0,0.3310904344809597
5.0,45.0,-75.0,45.0,15.0,60.0,0.4828685709064519
5.0,45.0,-75.0,45.0,60.0,75.0,0.6233274288036732
5.0,45.0,-45.0,30.0,-45.0,-90.0,0.39718415479388663
5.0,45.0,-45.0,30.0,-15.0,45.0,0.5187238867367882
5.0,45.0,-45.0,30.0,0.0,-75.0,1.054943586913814
5.0,45.0,-30.0,30.0,45.0,-90.0,0.8341179456826134
5.0,45.0,-15.0,30.0,45.0,-60.0,0.6966167727441817
5.0,45.0,-15.0,45.0,30.0,-60.0,1.2459062974130342
5.0,45.0,15.0,45.0,45.0,-45.0,0.3129502789324413
5.0,45.0,45.0,30.0,15.0,-45.0,0.4229717838230429
5.0,45.0,60.0,30.0,-30.0,-90.0,0.13348304497121097
5.0,45.0,60.0,60.0,-30.0,-75.0,1.2197433192943008
5.0,60.0,-75.0,45.0,30.0,-90.0,0.7954606240835143
5.0,60.0,-60.0,30.0,45.0,30.0,0.3667369960562611
5.0,60.0,-60.0,45.0,-60.0,60.0,0.9767923832619733
5.0,60.0,-15.0,45.0,-30.0,60.0,0.27615392425926616
5.0,60.0,30.0,30.0,-45.0,45.0,0.41576735471721477
5.0,60.0,30.0,45.0,15.0,-30.0,0.29807105582238663
5.0,60.0,30.0,60.0,-75.0,-45.0,0.35300044316232637
5.0,60.0,45.0,45.0,30.0,75.0,0.8115021547876579
5.0,60.0,60.0,30.0,-75.0,60.0,0.5861454476776319
5.0,60.0,60.0,30.0,30.0,75.0,0.35522554850292315
6.0,30.0,-75.0,45.0,-30.0,-75.0,0.42841100951925615
6.0,30.0,-75.0,45.0,0.0,-30.0,0.688399142871345
6.0,30.0,-60.0,30.0,0.0,-45.0,0.41008507622270063
6.0,30.0,-45.0,45.0,-75.0,45.0,0.5604873099080502
6.0,30.0,-30.0,45.0,30.0,75.0,0.4325509864652027
6.0,30.0,-30.0,60.0,-60.0,-75.0,0.7908717032241329
6.0,30.0,-30.0,60.0,-45.0,45.0,0.47889024195798124
6.0,30.0,0.0,60.0,0.0,-60.0,1.1420704775091683
6.0,30.0,15.0,45.0,45.0,-60.0,0.5650181083150138
6.0,30.0,60.0,60.0,-30.0,45.0,0.441832823752806
6.0,45.0,-75.0,30.0,-60.0,45.0,0.49032776804280326
6.0,45.0,-60.0,30.0,-60.0,45.0,0.48422885607333543
6.0,45.0,-60.0,30.0,45.0,45.0,0.36092631609232306
6.0,45.0,-60.0,60.0,-45.0,-30.0,0.7980383153218562
6.0,45.0,-45.0,30.0,-45.0,30.0,0.8205896073835781
6.0,45.0,-15.0,45.0,-75.0,-30.0,1.555441438575711
6.0,45.0,0.0,45.0,-75.0,-45.0,0.46035853118701114
6.0,45.0,0.0,60.0,60.0,-60.0,0.32739815524515614
6.0,45.0,0.0,60.0,60.0,-30.0,1.058955426330873
6.0,45.0,15.0,60.0,30.0,60.0,0.6360512974242264
6.0,45.0,45.0,45.0,30.0,-90.0,0.5953460555944694
6.0,45.0,60.0,30.0,60.0,-90.0,2.4491120347077246
6.0,60.0,-75.0,45.0,-30.0,-30.0,0.4366808567968745
6.0,60.0,-45.0,30.0,-15.0,60.0,0.19908790557983544
6.0,60.0,-45.0,60.0,-30.0,45.0,0.3432708353306082
6.0,60.0,-30.0,60.0,30.0,-90.0,0.4973006365746154
6.0,60.0,-15.0,30.0,45.0,30.0,0.24587960881008022
6.0,60.0,-15.0,60.0,15.0,45.0,1.4119883382174105
6.0,60.0,15.0,30.0,-75.0,60.0,0.3984518573597799
7.0,30.0,-75.0,30.0,-75.0,-30.0,0.413588130459079
7.0,30.0,-75.0,30.0,-30.0,-75.0,0.26704462278110264
7.0,30.0,-60.0,60.0,0.0,30.0,0.4154719193114335
7.0,30.0,-45.0,45.0,-75.0,75.0,0.3503053095547795
7.0,30.0,-45.0,60.0,60.0,30.0,0.2461405504745041
7.0,30.0,-30.0,30.0,0.0,60.0,0.37995928811660235
7.0,30.0,-30.0,30.0,15.0,30.0,0.6216209132239717
7.0,30.0,-15.0,45.0,-75.0,-45.0,0.7106647319474644
7.0,30.0,-15.0,45.0,-75.0,30.0,0.7828503792374474
7.0,30.0,0.0,30.0,15.0,30.0,0.6500751433079338
7.0,30.0,30.0,45.0,45.0,-75.0,0.3546058962564811
7.0,30.0,30.0,60.0,15.0,-90.0,0.5913738778135437
7.0,30.0,45.0,45.0,-15.0,-30.0,0.7605101978651843
7.0,30.0,45.0,45.0,15.0,75.0,0.2674484016563005
7.0,30.0,60.0,30.0,-15.0,75.0,0.7455255626457027
7.0,45.0,-60.0,45.0,-30.0,60.0,0.2388683608324189
7.0,45.0,-60.0,60.0,-15.0,-30.0,0.2580100937095506
7.0,45.0,15.0,30.0,0.0,60.0,0.4450351223213002
7.0,45.0,15.0,30.0,45.0,30.0,0.3936282734975241
7.0,45.0,15.0,60.0,-15.0,75.0,0.7696288719363463
