Timestamp,Snelheid,Omvang1,Positie1,Omvang2,Positie2,Relatie
14:19:13.176878,5.0,75.0,-75.0,45.0,-15.0,60.0
14:19:24.490614,9.0,60.0,-45.0,75.0,45.0,-30.0
14:19:35.800024,9.0,0.0,60.0,45.0,75.0,-60.0
14:19:47.135500,2.0,15.0,-30.0,60.0,60.0,-45.0
14:19:58.448482,3.0,75.0,60.0,0.0,75.0,-90.0
14:20:09.773350,2.0,60.0,-30.0,0.0,15.0,-30.0
14:20:21.102993,0.0,0.0,75.0,30.0,-75.0,-90.0
14:20:32.426130,5.0,15.0,0.0,45.0,45.0,-75.0
14:20:43.738619,3.0,60.0,-45.0,75.0,-30.0,75.0
14:20:55.067658,8.0,30.0,0.0,75.0,15.0,75.0
14:21:06.382997,5.0,30.0,60.0,15.0,-60.0,75.0
14:21:17.712656,1.0,45.0,-75.0,60.0,60.0,45.0
14:21:29.032740,7.0,0.0,-45.0,15.0,-90.0,75.0
14:21:40.348524,1.0,60.0,0.0,30.0,60.0,-30.0
14:21:51.678698,9.0,15.0,-45.0,0.0,-45.0,-15.0
14:22:02.989039,3.0,45.0,15.0,15.0,45.0,-30.0
14:22:14.307252,9.0,0.0,-45.0,15.0,-45.0,75.0
14:22:25.621335,1.0,0.0,-90.0,0.0,15.0,0.0
14:22:36.931357,5.0,0.0,0.0,60.0,-30.0,45.0
14:22:48.244183,5.0,60.0,45.0,45.0,0.0,-15.0
14:22:59.565613,2.0,75.0,-45.0,30.0,75.0,-90.0
14:23:10.880961,2.0,15.0,45.0,45.0,-15.0,30.0
14:23:22.202567,6.0,15.0,-90.0,60.0,15.0,-60.0
14:23:33.524866,8.0,45.0,-30.0,75.0,-90.0,45.0
14:23:44.834767,3.0,45.0,-90.0,45.0,45.0,-90.0
14:23:56.146230,8.0,60.0,30.0,60.0,15.0,15.0
14:24:07.459220,4.0,0.0,-15.0,75.0,30.0,-45.0
14:24:18.765701,1.0,60.0,-15.0,45.0,30.0,-90.0
14:24:30.083859,2.0,30.0,45.0,0.0,45.0,75.0
14:24:41.401880,3.0,75.0,-45.0,45.0,45.0,45.0
14:24:52.723678,5.0,75.0,0.0,30.0,-60.0,-15.0
14:25:04.035834,6.0,75.0,-30.0,30.0,30.0,0.0
14:25:15.345485,2.0,30.0,-90.0,0.0,75.0,-90.0
14:25:26.652424,0.0,15.0,-15.0,60.0,-60.0,0.0
14:25:37.974289,2.0,0.0,-75.0,15.0,-75.0,45.0
14:25:49.285540,8.0,60.0,-45.0,45.0,0.0,-60.0
14:26:00.601492,2.0,75.0,45.0,75.0,15.0,15.0
14:26:11.922379,4.0,60.0,-90.0,0.0,-15.0,-45.0
14:26:23.231835,2.0,15.0,0.0,0.0,0.0,15.0
14:26:34.548302,8.0,15.0,-15.0,15.0,-75.0,-45.0
14:26:45.869624,4.0,45.0,0.0,75.0,-60.0,-30.0
14:26:57.197036,3.0,60.0,-30.0,45.0,30.0,75.0
14:27:08.521706,1.0,0.0,-75.0,60.0,75.0,30.0
14:27:19.878600,0.0,15.0,-30.0,60.0,-90.0,0.0
14:27:31.191287,4.0,45.0,-30.0,60.0,-90.0,-30.0
14:27:42.519572,6.0,15.0,-60.0,0.0,-75.0,-45.0
14:27:53.852432,9.0,30.0,-30.0,0.0,-75.0,-30.0
14:28:05.168730,0.0,45.0,-60.0,75.0,60.0,-45.0
14:28:16.482110,6.0,75.0,60.0,15.0,30.0,-15.0
14:28:27.809987,7.0,60.0,-15.0,45.0,-45.0,30.0
14:28:39.130111,8.0,30.0,30.0,75.0,-60.0,75.0
14:28:50.443039,7.0,0.0,60.0,45.0,75.0,-75.0
14:29:01.756165,9.0,60.0,45.0,45.0,0.0,60.0
14:29:13.070629,8.0,30.0,60.0,30.0,-75.0,-60.0
14:29:24.374906,1.0,60.0,45.0,30.0,-75.0,-15.0
14:29:35.693123,2.0,60.0,-15.0,75.0,45.0,-90.0
14:29:47.000508,9.0,45.0,75.0,75.0,-45.0,0.0
14:29:58.317432,1.0,45.0,15.0,75.0,75.0,-60.0
14:30:09.653775,3.0,30.0,75.0,30.0,-45.0,75.0
14:30:20.973014,2.0,75.0,0.0,15.0,-75.0,30.0
14:30:32.294061,4.0,60.0,75.0,45.0,-90.0,75.0
14:30:43.599281,2.0,15.0,15.0,45.0,75.0,30.0
14:30:54.922563,9.0,60.0,-75.0,45.0,-30.0,15.0
14:31:06.238560,8.0,30.0,75.0,0.0,-45.0,-75.0
14:31:17.551959,4.0,45.0,0.0,45.0,60.0,45.0
14:31:28.872903,0.0,60.0,30.0,75.0,15.0,-30.0
14:31:40.193328,5.0,60.0,45.0,60.0,-15.0,45.0
14:31:51.499061,7.0,60.0,0.0,75.0,0.0,30.0
14:32:02.817212,5.0,60.0,-90.0,45.0,75.0,45.0
14:32:14.133883,5.0,75.0,-15.0,75.0,-60.0,15.0
14:32:25.454401,1.0,15.0,-45.0,15.0,-90.0,0.0
14:32:36.764989,0.0,60.0,-30.0,60.0,45.0,-15.0
14:32:48.078739,9.0,60.0,-90.0,15.0,75.0,-15.0
14:32:59.399738,1.0,30.0,0.0,60.0,-60.0,-60.0
14:33:10.705447,1.0,0.0,-15.0,0.0,-75.0,30.0
14:33:22.025648,3.0,0.0,0.0,30.0,-30.0,30.0
14:33:33.348784,2.0,45.0,75.0,60.0,75.0,-60.0
14:33:44.664007,8.0,0.0,-30.0,60.0,75.0,0.0
14:33:55.973170,6.0,60.0,-60.0,30.0,30.0,60.0
14:34:07.276453,5.0,30.0,60.0,60.0,-30.0,45.0
14:34:18.588717,9.0,45.0,-30.0,45.0,-90.0,-75.0
14:34:29.915466,0.0,15.0,30.0,45.0,60.0,45.0
14:34:41.230070,6.0,0.0,-75.0,60.0,60.0,-60.0
14:34:52.559985,2.0,15.0,30.0,30.0,0.0,30.0
14:35:03.868369,5.0,30.0,60.0,75.0,-90.0,45.0
14:35:15.179293,7.0,60.0,75.0,0.0,75.0,60.0
14:35:26.506652,5.0,15.0,30.0,60.0,0.0,-45.0
14:35:37.815133,8.0,75.0,-30.0,45.0,75.0,-30.0
14:35:49.143270,0.0,75.0,-90.0,0.0,-15.0,-90.0
14:36:00.456457,0.0,45.0,-15.0,15.0,75.0,-60.0
14:36:11.768514,0.0,45.0,0.0,75.0,-60.0,45.0
14:36:23.080749,1.0,75.0,-90.0,60.0,-90.0,-90.0
14:36:34.393015,7.0,75.0,-60.0,15.0,-45.0,-30.0
14:36:45.713625,8.0,30.0,-90.0,30.0,-75.0,15.0
14:36:57.031708,6.0,75.0,0.0,0.0,-60.0,60.0
14:37:08.332409,9.0,60.0,45.0,75.0,-15.0,-45.0
14:37:19.650971,8.0,45.0,75.0,60.0,-90.0,-60.0
14:37:30.974916,3.0,45.0,-75.0,30.0,-60.0,-60.0
14:37:42.286583,2.0,30.0,-30.0,0.0,30.0,-30.0
14:37:53.600807,9.0,45.0,-90.0,60.0,75.0,-15.0
14:38:04.911588,7.0,15.0,-60.0,30.0,60.0,15.0
14:38:16.232956,1.0,0.0,-60.0,30.0,-90.0,-45.0
14:38:27.555373,2.0,0.0,-45.0,0.0,75.0,30.0
14:38:38.863583,1.0,30.0,-15.0,75.0,45.0,-60.0
14:38:50.171724,6.0,0.0,45.0,30.0,15.0,-45.0
14:39:01.487064,7.0,30.0,-60.0,0.0,-45.0,-90.0
14:39:12.802902,7.0,75.0,-90.0,30.0,30.0,-60.0
14:39:24.123042,5.0,0.0,30.0,60.0,-30.0,45.0
14:39:35.437049,7.0,15.0,-60.0,15.0,-60.0,-15.0
14:39:46.746475,0.0,60.0,45.0,0.0,-30.0,15.0
14:39:58.056171,6.0,60.0,45.0,45.0,15.0,-15.0
14:40:09.391710,3.0,75.0,15.0,0.0,-60.0,75.0
14:40:20.701271,5.0,15.0,-60.0,60.0,-15.0,75.0
14:40:32.021890,9.0,30.0,-60.0,0.0,15.0,75.0
14:40:43.338895,6.0,45.0,45.0,75.0,-15.0,-15.0
14:40:54.650634,2.0,45.0,30.0,15.0,60.0,-30.0
14:41:05.954793,1.0,30.0,-30.0,45.0,60.0,-15.0
14:41:17.270766,1.0,30.0,-15.0,0.0,-75.0,-15.0
14:41:28.592857,5.0,75.0,30.0,60.0,-60.0,-60.0
14:41:39.898283,5.0,30.0,-90.0,60.0,45.0,-30.0
14:41:51.208077,3.0,15.0,-60.0,75.0,-90.0,-75.0
14:42:02.532983,9.0,30.0,-45.0,60.0,-30.0,75.0
14:42:13.846828,3.0,60.0,-75.0,15.0,45.0,60.0
14:42:25.159217,9.0,60.0,75.0,0.0,-15.0,-45.0
14:42:36.472981,9.0,45.0,45.0,75.0,15.0,-30.0
14:42:47.779202,7.0,60.0,75.0,75.0,-90.0,30.0
14:42:59.093552,9.0,60.0,-45.0,0.0,-90.0,-30.0
14:43:10.407357,1.0,75.0,60.0,60.0,-30.0,60.0
14:43:21.723253,0.0,45.0,-45.0,45.0,75.0,-75.0
14:43:33.039962,4.0,15.0,-45.0,30.0,-45.0,-45.0
14:43:44.363077,0.0,0.0,45.0,60.0,75.0,60.0
14:43:55.673140,3.0,0.0,15.0,0.0,15.0,0.0
14:44:06.990716,7.0,0.0,45.0,30.0,-60.0,-75.0
14:44:18.314427,9.0,45.0,15.0,15.0,-45.0,15.0
14:44:29.629211,1.0,45.0,60.0,45.0,-60.0,-30.0
14:44:40.944424,2.0,60.0,45.0,15.0,-75.0,-15.0
14:44:52.261484,1.0,60.0,-75.0,75.0,-30.0,-75.0
14:45:03.578905,0.0,30.0,0.0,15.0,15.0,75.0
14:45:14.898705,5.0,30.0,-45.0,30.0,-15.0,-30.0
14:45:26.212170,3.0,60.0,75.0,0.0,45.0,-60.0
14:45:37.523065,0.0,45.0,60.0,45.0,45.0,-30.0
14:45:48.841242,8.0,30.0,-60.0,60.0,-90.0,-15.0
14:46:00.162870,8.0,75.0,15.0,15.0,-60.0,-45.0
14:46:11.474062,0.0,75.0,30.0,45.0,60.0,45.0
14:46:22.790210,9.0,0.0,-60.0,60.0,-75.0,-90.0
14:46:34.103187,8.0,30.0,15.0,45.0,-90.0,15.0
14:46:45.419871,8.0,75.0,-30.0,75.0,15.0,-60.0
14:46:56.725738,9.0,75.0,45.0,45.0,-45.0,45.0
14:47:08.040024,7.0,60.0,45.0,45.0,-30.0,30.0
14:47:19.347363,6.0,0.0,30.0,75.0,-15.0,0.0
14:47:30.664516,9.0,75.0,45.0,45.0,-60.0,-90.0
14:47:41.984409,7.0,60.0,75.0,75.0,-75.0,-60.0
14:47:53.304256,5.0,60.0,-15.0,75.0,0.0,0.0
14:48:04.613336,3.0,45.0,15.0,15.0,-60.0,-30.0
14:48:15.919448,3.0,15.0,75.0,15.0,-60.0,-75.0
14:48:27.235206,1.0,75.0,75.0,15.0,-90.0,60.0
14:48:38.551019,4.0,45.0,0.0,30.0,60.0,-90.0
14:48:49.871388,3.0,30.0,30.0,75.0,30.0,75.0
14:49:01.187947,4.0,0.0,-90.0,15.0,-45.0,45.0
14:49:12.490694,8.0,75.0,0.0,60.0,-60.0,-60.0
14:49:23.812897,5.0,45.0,0.0,45.0,75.0,-45.0
14:49:35.138049,9.0,60.0,0.0,0.0,75.0,-75.0
14:49:46.474565,8.0,75.0,45.0,0.0,75.0,60.0
14:49:57.782547,8.0,45.0,-30.0,0.0,75.0,-75.0
14:50:09.104047,9.0,75.0,-75.0,75.0,30.0,75.0
14:50:20.434492,8.0,45.0,-60.0,45.0,30.0,-60.0
14:50:31.763974,2.0,75.0,15.0,15.0,60.0,-90.0
14:50:43.080612,4.0,30.0,-75.0,15.0,75.0,30.0
14:50:54.400103,8.0,30.0,45.0,75.0,-30.0,-30.0
14:51:05.708414,4.0,45.0,-30.0,60.0,15.0,-75.0
14:51:17.027683,9.0,15.0,75.0,15.0,-45.0,15.0
14:51:28.360036,4.0,75.0,-15.0,30.0,45.0,-75.0
14:51:39.684194,3.0,60.0,-75.0,15.0,15.0,45.0
14:51:51.006477,3.0,45.0,60.0,75.0,60.0,-45.0
14:52:02.332031,2.0,45.0,-30.0,45.0,-90.0,15.0
14:52:13.647608,8.0,30.0,75.0,45.0,-15.0,15.0
14:52:24.971484,5.0,60.0,60.0,15.0,30.0,-45.0
14:52:36.288017,5.0,30.0,-30.0,0.0,30.0,-90.0
14:52:47.603279,2.0,30.0,-90.0,0.0,60.0,-30.0
14:52:58.926846,2.0,0.0,45.0,0.0,-75.0,75.0
14:53:10.248895,9.0,0.0,-45.0,15.0,-90.0,45.0
14:53:21.567233,5.0,0.0,15.0,0.0,-75.0,-15.0
14:53:32.902384,5.0,60.0,-15.0,45.0,-60.0,-90.0
14:53:44.208791,0.0,60.0,-45.0,30.0,45.0,75.0
14:53:55.522562,7.0,60.0,45.0,45.0,-30.0,-90.0
14:54:06.831824,3.0,75.0,30.0,30.0,-75.0,-90.0
14:54:18.150623,1.0,45.0,-30.0,60.0,0.0,-45.0
14:54:29.455685,0.0,15.0,-30.0,0.0,0.0,-15.0
14:54:40.767489,3.0,30.0,15.0,0.0,30.0,-30.0
14:54:52.083265,5.0,30.0,45.0,15.0,45.0,75.0
14:55:03.412696,2.0,30.0,-15.0,75.0,75.0,0.0
14:55:14.723936,9.0,75.0,75.0,75.0,-90.0,-75.0
14:55:26.038595,5.0,75.0,45.0,60.0,-15.0,-90.0
14:55:37.351164,9.0,45.0,75.0,75.0,-60.0,-75.0
14:55:48.667046,7.0,75.0,-90.0,75.0,30.0,30.0
14:55:59.973637,7.0,15.0,45.0,15.0,-90.0,60.0
14:56:11.285131,7.0,15.0,-30.0,60.0,0.0,-75.0
14:56:22.597126,5.0,15.0,-75.0,45.0,30.0,-60.0
14:56:33.926243,3.0,75.0,45.0,0.0,-75.0,75.0
14:56:45.232885,4.0,15.0,-90.0,15.0,0.0,-75.0
14:56:56.539063,8.0,15.0,-45.0,75.0,75.0,-90.0
14:57:07.867001,2.0,45.0,15.0,75.0,-15.0,-45.0
14:57:19.191449,0.0,45.0,-90.0,0.0,-30.0,15.0
14:57:30.524637,7.0,15.0,-15.0,0.0,-75.0,-45.0
14:57:41.836066,4.0,60.0,45.0,0.0,75.0,0.0
14:57:53.155165,3.0,30.0,-15.0,30.0,60.0,0.0
14:58:04.490573,5.0,45.0,-30.0,30.0,30.0,-45.0
14:58:15.806533,5.0,30.0,60.0,15.0,-90.0,0.0
14:58:27.120224,1.0,60.0,30.0,15.0,-30.0,-45.0
14:58:38.452134,0.0,45.0,-30.0,15.0,-45.0,-90.0
14:58:49.772119,1.0,45.0,-60.0,0.0,0.0,60.0
14:59:01.096263,0.0,45.0,0.0,45.0,0.0,30.0
14:59:12.411572,8.0,30.0,75.0,0.0,-30.0,0.0
14:59:23.721238,4.0,0.0,-90.0,15.0,-60.0,60.0
14:59:35.032576,4.0,30.0,75.0,45.0,-90.0,-45.0
14:59:46.357611,2.0,15.0,30.0,75.0,-60.0,30.0
14:59:57.667320,5.0,75.0,60.0,0.0,15.0,30.0
15:00:08.979533,8.0,30.0,-75.0,75.0,75.0,-15.0
15:00:20.287937,2.0,30.0,-45.0,0.0,30.0,0.0
15:00:31.613206,7.0,30.0,-30.0,60.0,-75.0,-45.0
15:00:42.926423,7.0,45.0,-75.0,45.0,45.0,0.0
15:00:54.250669,3.0,60.0,30.0,15.0,15.0,-90.0
15:01:05.566606,1.0,0.0,-60.0,45.0,-45.0,-45.0
15:01:16.871357,0.0,45.0,15.0,75.0,-75.0,75.0
15:01:28.198461,7.0,60.0,-90.0,0.0,-60.0,-45.0
15:01:39.513949,6.0,30.0,-15.0,60.0,-45.0,-60.0
15:01:50.832394,0.0,15.0,30.0,75.0,30.0,0.0
15:02:02.141354,6.0,60.0,-15.0,15.0,-45.0,75.0
15:02:13.454991,8.0,0.0,75.0,15.0,-90.0,-45.0
15:02:24.760359,6.0,15.0,30.0,60.0,15.0,15.0
15:02:36.075147,9.0,30.0,-30.0,45.0,-60.0,-90.0
15:02:47.394853,4.0,0.0,-15.0,0.0,0.0,-60.0
15:02:58.730196,6.0,0.0,-90.0,0.0,-30.0,15.0
15:03:10.037812,6.0,30.0,-30.0,60.0,15.0,-60.0
15:03:21.348634,1.0,30.0,-75.0,60.0,0.0,45.0
15:03:32.657022,7.0,30.0,0.0,60.0,-45.0,-15.0
15:03:43.965654,3.0,15.0,-45.0,0.0,-45.0,-90.0
15:03:55.285010,1.0,30.0,60.0,75.0,45.0,-90.0
15:04:06.591745,7.0,45.0,75.0,75.0,-45.0,-60.0
15:04:17.910727,1.0,45.0,-75.0,30.0,-45.0,-45.0
15:04:29.222874,5.0,60.0,75.0,45.0,15.0,-75.0
15:04:40.542612,4.0,60.0,30.0,15.0,-30.0,60.0
15:04:51.856376,8.0,30.0,45.0,60.0,-30.0,-15.0
15:05:03.176034,0.0,75.0,30.0,0.0,-45.0,30.0
15:05:14.489523,2.0,45.0,-60.0,15.0,-45.0,-60.0
15:05:25.803249,6.0,45.0,15.0,60.0,0.0,-30.0
15:05:37.126122,3.0,0.0,-15.0,60.0,75.0,0.0
15:05:48.439222,0.0,30.0,-75.0,15.0,75.0,-45.0
15:05:59.757858,0.0,60.0,30.0,75.0,-15.0,0.0
15:06:11.068590,7.0,45.0,-75.0,0.0,30.0,75.0
15:06:22.386468,6.0,15.0,-75.0,0.0,-90.0,-75.0
15:06:33.707898,1.0,45.0,45.0,0.0,15.0,60.0
15:06:45.025323,4.0,15.0,60.0,45.0,60.0,-60.0
15:06:56.359149,5.0,15.0,0.0,30.0,0.0,-60.0
15:07:07.663256,9.0,60.0,-75.0,0.0,45.0,45.0
15:07:18.997784,4.0,30.0,15.0,75.0,45.0,-75.0
15:07:30.320196,4.0,0.0,60.0,30.0,-45.0,15.0
15:07:41.636719,7.0,60.0,75.0,30.0,-60.0,-45.0
15:07:52.953200,5.0,75.0,-75.0,15.0,75.0,60.0
15:08:04.265534,9.0,30.0,-60.0,30.0,-15.0,-30.0
15:08:15.588910,0.0,15.0,15.0,30.0,0.0,45.0
15:08:26.900034,6.0,60.0,-60.0,60.0,-75.0,-15.0
15:08:38.220572,8.0,60.0,15.0,0.0,15.0,45.0
15:08:49.537614,1.0,30.0,-45.0,30.0,75.0,-30.0
15:09:00.862100,7.0,0.0,-60.0,45.0,-15.0,75.0
15:09:12.194040,2.0,60.0,-15.0,45.0,-75.0,0.0
15:09:23.506011,2.0,15.0,-60.0,45.0,30.0,75.0
15:09:34.831190,4.0,45.0,60.0,45.0,-45.0,-90.0
15:09:46.156417,3.0,0.0,45.0,15.0,-30.0,45.0
15:09:57.474268,8.0,60.0,0.0,15.0,-60.0,-15.0
15:10:08.792875,2.0,0.0,60.0,15.0,-30.0,30.0
15:10:20.105173,8.0,45.0,75.0,60.0,-60.0,-15.0
15:10:31.416134,6.0,60.0,75.0,45.0,60.0,15.0
15:10:42.740706,8.0,15.0,-60.0,30.0,30.0,75.0
15:10:54.050535,1.0,15.0,0.0,75.0,-30.0,-30.0
15:11:05.371413,0.0,75.0,15.0,75.0,-45.0,30.0
15:11:16.690599,2.0,45.0,45.0,75.0,-75.0,30.0
15:11:28.015466,5.0,60.0,15.0,75.0,-90.0,-75.0
