,Snelheid,Omvang1,Positie1,Omvang2,Positie2,Relatie,Speed
0,0.0,0.0,-90.0,45.0,-90.0,-60.0,0.7203543687949742
1,0.0,0.0,-90.0,45.0,30.0,60.0,1.6392022675341948
2,0.0,0.0,-90.0,60.0,15.0,-45.0,1.2430992447704654
3,0.0,0.0,-45.0,15.0,-75.0,30.0,1.0462683681537444
4,0.0,0.0,-45.0,15.0,30.0,30.0,0.32535681408827033
5,0.0,0.0,0.0,75.0,-90.0,60.0,0.37262103942471747
6,0.0,0.0,15.0,15.0,-90.0,-30.0,0.8735897492020805
7,0.0,0.0,30.0,0.0,-45.0,0.0,0.4004469627556305
8,0.0,0.0,30.0,60.0,30.0,-75.0,2.023630631504008
9,0.0,0.0,45.0,0.0,30.0,0.0,0.9367670087428529
10,0.0,0.0,45.0,15.0,-60.0,-75.0,0.4044002615559916
11,0.0,15.0,-75.0,45.0,0.0,75.0,2.1039859466731823
12,0.0,15.0,-45.0,45.0,60.0,60.0,1.5774918197864232
13,0.0,15.0,-30.0,75.0,-60.0,-90.0,1.4354368499511039
14,0.0,15.0,45.0,45.0,-45.0,30.0,2.1089895247466584
15,0.0,15.0,75.0,45.0,30.0,45.0,1.7044439841792949
16,0.0,15.0,75.0,60.0,-15.0,30.0,0.8733446764499846
17,0.0,15.0,75.0,75.0,30.0,15.0,3.83092800222339
18,0.0,30.0,-60.0,60.0,-30.0,45.0,0.9570775529765889
19,0.0,30.0,-45.0,60.0,-90.0,75.0,0.2533957385582104
20,0.0,30.0,-30.0,0.0,15.0,60.0,2.142812198309456
21,0.0,30.0,-15.0,45.0,75.0,30.0,1.3285581906125468
22,0.0,30.0,-15.0,75.0,60.0,-75.0,1.736898347259712
23,0.0,30.0,0.0,45.0,-45.0,-45.0,2.43571341676576
24,0.0,30.0,30.0,0.0,75.0,30.0,1.1127120400140684
25,0.0,30.0,30.0,30.0,-15.0,-45.0,0.7571088379117021
26,0.0,30.0,45.0,0.0,45.0,45.0,0.6637455132007419
27,0.0,30.0,75.0,75.0,0.0,-15.0,2.2673415909092753
28,0.0,45.0,-90.0,0.0,60.0,30.0,2.2738377405962096
29,0.0,45.0,-90.0,60.0,30.0,-15.0,1.5737509799692935
30,0.0,45.0,-60.0,45.0,15.0,-15.0,0.8035852470555012
31,0.0,45.0,-45.0,15.0,15.0,-75.0,2.738461878781348
32,0.0,45.0,-45.0,75.0,-75.0,45.0,1.4333150534632844
33,0.0,45.0,-15.0,60.0,45.0,15.0,4.022523099814139
34,0.0,60.0,-75.0,0.0,75.0,15.0,1.3285069640939222
35,0.0,60.0,-75.0,15.0,-75.0,-60.0,1.0663949759771245
36,0.0,60.0,-75.0,15.0,-75.0,45.0,2.239166462285193
37,0.0,60.0,-75.0,45.0,-90.0,75.0,0.5156560307730004
38,0.0,60.0,-75.0,60.0,75.0,-90.0,1.3724126975540114
39,0.0,60.0,-15.0,75.0,0.0,-15.0,1.5202552007120675
40,0.0,60.0,30.0,30.0,60.0,-75.0,1.1536152933531716
41,0.0,60.0,30.0,75.0,45.0,-30.0,2.4225621086009115
42,0.0,60.0,60.0,30.0,15.0,-45.0,1.8288394397371963
43,0.0,75.0,-30.0,45.0,15.0,-60.0,1.5779483361101891
44,0.0,75.0,-15.0,30.0,-45.0,75.0,2.029803551320339
45,0.0,75.0,45.0,60.0,-15.0,-60.0,2.368622208011494
46,1.0,0.0,-90.0,30.0,-45.0,-30.0,2.350351250249374
47,1.0,0.0,-90.0,60.0,75.0,-30.0,1.9194595174610019
48,1.0,0.0,-30.0,15.0,-75.0,0.0,0.8976531735299457
49,1.0,0.0,30.0,15.0,-90.0,15.0,1.8628999594503355
50,1.0,0.0,30.0,45.0,-45.0,30.0,0.749865808150643
51,1.0,0.0,30.0,60.0,-15.0,-60.0,1.1686775635257076
52,1.0,0.0,30.0,75.0,30.0,15.0,1.8917305045974433
53,1.0,0.0,60.0,0.0,-30.0,75.0,1.1843161604978196
